Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.724796  0.758555  0.741291
1   anticipation   0.129412  0.333333  0.186441
2        disgust   0.654231  0.690682  0.671963
3           fear   0.632990  0.803665  0.708189
4            joy   0.813454  0.816852  0.815149
5           love   0.612403  0.560284  0.585185
6       optimism   0.630796  0.723896  0.674147
7      pessimism   0.168000  0.333333  0.223404
8        sadness   0.613542  0.687281  0.648321
9       surprise   0.082353  0.424242  0.137931
10         trust   0.019608  0.157895  0.034884
11         micro   0.706564  0.604651  0.651647
12         macro   0.482346  0.574556  0.506546

         Emotion  Precision    Recall   F-Score
0          anger   0.754768  0.758212  0.756486
1   anticipation   0.155294  0.341969  0.213592
2        disgust   0.673339  0.714286  0.693208
3           fear   0.663918  0.783455  0.718750
4            joy   0.790569  0.846325  0.817497
5           love   0.532946  0.613839  0.570539
6       optimism   0.734908  0.665083  0.698254
7      pessimism   0.232000  0.371795  0.285714
8        sadness   0.644792  0.672096  0.658161
9       surprise   0.117647  0.465116  0.187793
10         trust   0.104575  0.179775  0.132231
11         micro   0.699901  0.629813  0.663010
12         macro   0.508721  0.586814  0.532936

         Emotion  Precision    Recall   F-Score
0          anger   0.752044  0.747967  0.750000
1   anticipation   0.136471  0.303665  0.188312
2        disgust   0.687898  0.715232  0.701299
3           fear   0.694845  0.720085  0.707240
4            joy   0.801664  0.829268  0.815233
5           love   0.443798  0.629121  0.520455
6       optimism   0.605424  0.719335  0.657482
7      pessimism   0.197333  0.352381  0.252991
8        sadness   0.555208  0.720270  0.627059
9       surprise   0.111765  0.387755  0.173516
10         trust   0.039216  0.260870  0.068182
11         micro   0.714090  0.595755  0.649577
12         macro   0.478313  0.581809  0.509279

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.743869  0.754911  0.749259
1   anticipation   0.140392  0.326322  0.196115
2        disgust   0.671823  0.706733  0.688823
3           fear   0.663918  0.769068  0.711393
4            joy   0.801896  0.830815  0.815960
5           love   0.529716  0.601081  0.558726
6       optimism   0.657043  0.702771  0.676628
7      pessimism   0.199111  0.352503  0.254037
8        sadness   0.604514  0.693216  0.644514
9       surprise   0.103922  0.425705  0.166413
10         trust   0.054466  0.199513  0.078432
11         micro   0.706852  0.610073  0.654745
12         macro   0.489793  0.581059  0.516254
