Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.768392  0.752669  0.760449
1   anticipation   0.185882  0.352679  0.243451
2        disgust   0.665150  0.720197  0.691580
3           fear   0.692784  0.763636  0.726486
4            joy   0.796810  0.845475  0.820421
5           love   0.490310  0.647059  0.557883
6       optimism   0.603675  0.715768  0.654960
7      pessimism   0.144000  0.402985  0.212181
8        sadness   0.597917  0.734955  0.659391
9       surprise   0.135294  0.310811  0.188525
10         trust   0.071895  0.189655  0.104265
11         micro   0.723035  0.603126  0.657660
12         macro   0.489595  0.586585  0.523104

         Emotion  Precision    Recall   F-Score
0          anger   0.818347  0.703906  0.756825
1   anticipation   0.160000  0.345178  0.218650
2        disgust   0.784349  0.677141  0.726813
3           fear   0.678351  0.759815  0.716776
4            joy   0.782247  0.860412  0.819470
5           love   0.515504  0.666667  0.581421
6       optimism   0.614173  0.728216  0.666350
7      pessimism   0.141333  0.337580  0.199248
8        sadness   0.643750  0.672470  0.657797
9       surprise   0.111765  0.395833  0.174312
10         trust   0.098039  0.223881  0.136364
11         micro   0.703888  0.630449  0.665147
12         macro   0.504312  0.583462  0.526598

         Emotion  Precision    Recall   F-Score
0          anger   0.759310  0.753832  0.756561
1   anticipation   0.117647  0.316456  0.171527
2        disgust   0.676979  0.714697  0.695327
3           fear   0.686598  0.769053  0.725490
4            joy   0.764910  0.870560  0.814323
5           love   0.474806  0.673077  0.556818
6       optimism   0.681540  0.701802  0.691522
7      pessimism   0.322667  0.374613  0.346705
8        sadness   0.576042  0.703562  0.633448
9       surprise   0.129412  0.318841  0.184100
10         trust   0.137255  0.210000  0.166008
11         micro   0.711095  0.610878  0.657188
12         macro   0.503188  0.584781  0.533251

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.782016  0.736803  0.757945
1   anticipation   0.154510  0.338104  0.211209
2        disgust   0.708826  0.704012  0.704573
3           fear   0.685911  0.764168  0.722917
4            joy   0.781322  0.858816  0.818071
5           love   0.493540  0.662267  0.565374
6       optimism   0.633129  0.715262  0.670944
7      pessimism   0.202667  0.371726  0.252711
8        sadness   0.605903  0.703663  0.650212
9       surprise   0.125490  0.341828  0.182312
10         trust   0.102397  0.207845  0.135546
11         micro   0.712672  0.614818  0.659998
12         macro   0.499032  0.584943  0.527651
