Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.784741  0.726661  0.754585
1   anticipation   0.072941  0.392405  0.123016
2        disgust   0.738854  0.690476  0.713846
3           fear   0.738144  0.696498  0.716717
4            joy   0.817614  0.836764  0.827078
5           love   0.496124  0.646465  0.561404
6       optimism   0.676290  0.709174  0.692342
7      pessimism   0.213333  0.427807  0.284698
8        sadness   0.559375  0.758475  0.643885
9       surprise   0.123529  0.466667  0.195349
10         trust   0.058824  0.204545  0.091371
11         micro   0.719614  0.625238  0.669115
12         macro   0.499949  0.598431  0.522784

         Emotion  Precision    Recall   F-Score
0          anger   0.754768  0.766605  0.760641
1   anticipation   0.150588  0.405063  0.219554
2        disgust   0.699727  0.719364  0.709410
3           fear   0.723711  0.743644  0.733542
4            joy   0.771151  0.865370  0.815548
5           love   0.562016  0.644444  0.600414
6       optimism   0.609799  0.724532  0.662233
7      pessimism   0.208000  0.475610  0.289425
8        sadness   0.627083  0.672626  0.649057
9       surprise   0.111765  0.463415  0.180095
10         trust   0.124183  0.250000  0.165939
11         micro   0.725962  0.614055  0.665336
12         macro   0.505729  0.612061  0.537599

         Emotion  Precision    Recall   F-Score
0          anger   0.692098  0.814103  0.748159
1   anticipation   0.122353  0.379562  0.185053
2        disgust   0.646952  0.742947  0.691634
3           fear   0.665979  0.793612  0.724215
4            joy   0.801664  0.853767  0.826896
5           love   0.548450  0.656613  0.597677
6       optimism   0.613298  0.731733  0.667301
7      pessimism   0.133333  0.471698  0.207900
8        sadness   0.618750  0.699647  0.656716
9       surprise   0.105882  0.500000  0.174757
10         trust   0.091503  0.218750  0.129032
11         micro   0.748035  0.592706  0.661373
12         macro   0.482358  0.621261  0.522560

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.743869  0.769123  0.754462
1   anticipation   0.115294  0.392343  0.175874
2        disgust   0.695177  0.717596  0.704963
3           fear   0.709278  0.744585  0.724825
4            joy   0.796810  0.851967  0.823174
5           love   0.535530  0.649174  0.586498
6       optimism   0.633129  0.721813  0.673959
7      pessimism   0.184889  0.458372  0.260674
8        sadness   0.601736  0.710249  0.649886
9       surprise   0.113725  0.476694  0.183400
10         trust   0.091503  0.224432  0.128781
11         micro   0.731204  0.610666  0.665274
12         macro   0.496012  0.610584  0.527648
