Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.762035  0.753819  0.757904
1   anticipation   0.169412  0.369231  0.232258
2        disgust   0.734304  0.686809  0.709763
3           fear   0.738144  0.726166  0.732106
4            joy   0.818308  0.846485  0.832158
5           love   0.527132  0.593886  0.558522
6       optimism   0.682415  0.687831  0.685112
7      pessimism   0.120000  0.368852  0.181087
8        sadness   0.577083  0.716688  0.639354
9       surprise   0.117647  0.425532  0.184332
10         trust   0.117647  0.206897  0.150000
11         micro   0.707338  0.628415  0.665545
12         macro   0.505955  0.584218  0.527345

         Emotion  Precision    Recall   F-Score
0          anger   0.770209  0.736111  0.752774
1   anticipation   0.138824  0.364198  0.201022
2        disgust   0.776160  0.687349  0.729060
3           fear   0.709278  0.728814  0.718913
4            joy   0.771151  0.876972  0.820664
5           love   0.447674  0.658120  0.532872
6       optimism   0.634296  0.708008  0.669128
7      pessimism   0.160000  0.359281  0.221402
8        sadness   0.668750  0.641359  0.654768
9       surprise   0.100000  0.340000  0.154545
10         trust   0.104575  0.166667  0.128514
11         micro   0.702606  0.623586  0.660742
12         macro   0.498627  0.574205  0.520367

         Emotion  Precision    Recall   F-Score
0          anger   0.816530  0.705651  0.757053
1   anticipation   0.157647  0.323671  0.212025
2        disgust   0.783439  0.677953  0.726889
3           fear   0.701031  0.740741  0.720339
4            joy   0.814147  0.860073  0.836480
5           love   0.521318  0.605856  0.560417
6       optimism   0.640420  0.704524  0.670944
7      pessimism   0.138667  0.412698  0.207585
8        sadness   0.602083  0.690562  0.643294
9       surprise   0.123529  0.477273  0.196262
10         trust   0.098039  0.174419  0.125523
11         micro   0.700322  0.636421  0.666844
12         macro   0.508098  0.584153  0.526971

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.782925  0.731860  0.755910
1   anticipation   0.155294  0.352367  0.215102
2        disgust   0.764635  0.684037  0.721904
3           fear   0.716151  0.731907  0.723786
4            joy   0.801202  0.861177  0.829767
5           love   0.498708  0.619287  0.550603
6       optimism   0.652377  0.700121  0.675061
7      pessimism   0.139556  0.380277  0.203358
8        sadness   0.615972  0.682869  0.645805
9       surprise   0.113725  0.414268  0.178380
10         trust   0.106754  0.182661  0.134679
11         micro   0.703422  0.629474  0.664377
12         macro   0.504227  0.580859  0.524894
