Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.752044  0.751361  0.751702
1   anticipation   0.148235  0.353933  0.208955
2        disgust   0.703367  0.701452  0.702408
3           fear   0.620619  0.800532  0.699187
4            joy   0.797503  0.856292  0.825853
5           love   0.529070  0.639344  0.579003
6       optimism   0.723535  0.694374  0.708655
7      pessimism   0.154667  0.408451  0.224371
8        sadness   0.569792  0.731283  0.640515
9       surprise   0.129412  0.392857  0.194690
10         trust   0.084967  0.309524  0.133333
11         micro   0.723871  0.616978  0.666164
12         macro   0.494757  0.604698  0.527903

         Emotion  Precision    Recall   F-Score
0          anger   0.755677  0.746188  0.750903
1   anticipation   0.072941  0.449275  0.125506
2        disgust   0.722475  0.706406  0.714350
3           fear   0.744330  0.630017  0.682420
4            joy   0.785021  0.854985  0.818510
5           love   0.612403  0.596226  0.604207
6       optimism   0.625547  0.694175  0.658076
7      pessimism   0.189333  0.385870  0.254025
8        sadness   0.607292  0.669346  0.636810
9       surprise   0.105882  0.529412  0.176471
10         trust   0.045752  0.250000  0.077348
11         micro   0.706190  0.617613  0.658938
12         macro   0.497737  0.594126  0.513130

         Emotion  Precision    Recall   F-Score
0          anger   0.794732  0.724338  0.757904
1   anticipation   0.164706  0.358974  0.225806
2        disgust   0.767061  0.669579  0.715013
3           fear   0.678351  0.751142  0.712893
4            joy   0.758669  0.876603  0.813383
5           love   0.548450  0.619256  0.581706
6       optimism   0.634296  0.709393  0.669746
7      pessimism   0.192000  0.397790  0.258993
8        sadness   0.502083  0.766296  0.606671
9       surprise   0.105882  0.352941  0.162896
10         trust   0.104575  0.216216  0.140969
11         micro   0.710884  0.610878  0.657098
12         macro   0.496807  0.587784  0.525256

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.767484  0.740629  0.753503
1   anticipation   0.128627  0.387394  0.186756
2        disgust   0.730968  0.692479  0.710590
3           fear   0.681100  0.727230  0.698166
4            joy   0.780398  0.862626  0.819249
5           love   0.563307  0.618276  0.588305
6       optimism   0.661126  0.699314  0.678826
7      pessimism   0.178667  0.397370  0.245796
8        sadness   0.559722  0.722308  0.627999
9       surprise   0.113725  0.425070  0.178019
10         trust   0.078431  0.258580  0.117217
11         micro   0.713648  0.615157  0.660733
12         macro   0.496434  0.595536  0.522097
