Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.798365  0.704327  0.748404
1   anticipation   0.091765  0.367925  0.146893
2        disgust   0.783439  0.631232  0.699147
3           fear   0.694845  0.717021  0.705759
4            joy   0.769764  0.855821  0.810515
5           love   0.536822  0.615556  0.573499
6       optimism   0.492563  0.726452  0.587070
7      pessimism   0.144000  0.421875  0.214712
8        sadness   0.597917  0.698297  0.644220
9       surprise   0.117647  0.384615  0.180180
10         trust   0.032680  0.116279  0.051020
11         micro   0.698594  0.599695  0.645377
12         macro   0.479867  0.569924  0.500566

         Emotion  Precision    Recall   F-Score
0          anger   0.723887  0.759771  0.741395
1   anticipation   0.110588  0.330986  0.165785
2        disgust   0.682439  0.684307  0.683371
3           fear   0.672165  0.734234  0.701830
4            joy   0.823162  0.817493  0.820318
5           love   0.470930  0.619898  0.535242
6       optimism   0.589676  0.713983  0.645903
7      pessimism   0.186667  0.330189  0.238501
8        sadness   0.557292  0.709549  0.624271
9       surprise   0.082353  0.325581  0.131455
10         trust   0.058824  0.128571  0.080717
11         micro   0.705062  0.591181  0.643119
12         macro   0.471920  0.562145  0.500992

         Emotion  Precision    Recall   F-Score
0          anger   0.790191  0.711365  0.748709
1   anticipation   0.129412  0.345912  0.188356
2        disgust   0.735214  0.650040  0.690009
3           fear   0.709278  0.725738  0.717414
4            joy   0.770458  0.862578  0.813919
5           love   0.527132  0.631090  0.574446
6       optimism   0.592301  0.721748  0.650649
7      pessimism   0.274667  0.375912  0.317411
8        sadness   0.579167  0.715573  0.640184
9       surprise   0.105882  0.486486  0.173913
10         trust   0.091503  0.280000  0.137931
11         micro   0.700319  0.613547  0.654068
12         macro   0.500460  0.593333  0.525584

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.770814  0.725155  0.746169
1   anticipation   0.110588  0.348274  0.167011
2        disgust   0.733697  0.655193  0.690842
3           fear   0.692096  0.725665  0.708334
4            joy   0.787795  0.845297  0.814917
5           love   0.511628  0.622181  0.561062
6       optimism   0.558180  0.720728  0.627874
7      pessimism   0.201778  0.375992  0.256875
8        sadness   0.578125  0.707806  0.636225
9       surprise   0.101961  0.398894  0.161850
10         trust   0.061002  0.174950  0.089890
11         micro   0.701325  0.601474  0.647521
12         macro   0.484082  0.575134  0.509048
