Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.625795  0.828125  0.712882
1   anticipation   0.129412  0.390071  0.194346
2        disgust   0.646042  0.721545  0.681709
3           fear   0.663918  0.797030  0.724409
4            joy   0.827323  0.807718  0.817403
5           love   0.639535  0.582011  0.609418
6       optimism   0.687664  0.665538  0.676420
7      pessimism   0.109333  0.471264  0.177489
8        sadness   0.559375  0.708443  0.625146
9       surprise   0.147059  0.416667  0.217391
10         trust   0.071895  0.379310  0.120879
11         micro   0.720706  0.597153  0.653138
12         macro   0.485671  0.613740  0.517553

         Emotion  Precision    Recall   F-Score
0          anger   0.767484  0.729706  0.748119
1   anticipation   0.089412  0.431818  0.148148
2        disgust   0.762511  0.641163  0.696592
3           fear   0.676289  0.779097  0.724062
4            joy   0.774619  0.847496  0.809420
5           love   0.505814  0.618483  0.556503
6       optimism   0.696413  0.676871  0.686503
7      pessimism   0.245333  0.422018  0.310287
8        sadness   0.568750  0.730924  0.639719
9       surprise   0.141176  0.521739  0.222222
10         trust   0.032680  0.333333  0.059524
11         micro   0.707056  0.621426  0.661481
12         macro   0.497295  0.612840  0.521882

         Emotion  Precision    Recall   F-Score
0          anger   0.722071  0.757143  0.739191
1   anticipation   0.136471  0.394558  0.202797
2        disgust   0.695177  0.691403  0.693285
3           fear   0.647423  0.794937  0.713636
4            joy   0.794730  0.830435  0.812190
5           love   0.513566  0.688312  0.588235
6       optimism   0.631671  0.702335  0.665131
7      pessimism   0.162667  0.401316  0.231499
8        sadness   0.544792  0.762391  0.635480
9       surprise   0.141176  0.413793  0.210526
10         trust   0.039216  0.230769  0.067039
11         micro   0.729570  0.594485  0.655136
12         macro   0.479877  0.605156  0.517846

Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.705117  0.771658  0.733397
1   anticipation   0.118431  0.405482  0.181764
2        disgust   0.701244  0.684703  0.690529
3           fear   0.662543  0.790355  0.720703
4            joy   0.798890  0.828550  0.813004
5           love   0.552972  0.629602  0.584719
6       optimism   0.671916  0.681581  0.676018
7      pessimism   0.172444  0.431533  0.239758
8        sadness   0.557639  0.733919  0.633448
9       surprise   0.143137  0.450733  0.216713
10         trust   0.047930  0.314471  0.082481
11         micro   0.719110  0.604355  0.656585
12         macro   0.487614  0.610578  0.519093
