
Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.754768  0.785444  0.769801
1   anticipation   0.070588  0.416667  0.120724
2        disgust   0.702457  0.745174  0.723185
3           fear   0.688660  0.800959  0.740576
4            joy   0.830791  0.826777  0.828779
5           love   0.550388  0.649886  0.596013
6       optimism   0.731409  0.692053  0.711187
7      pessimism   0.173333  0.445205  0.249520
8        sadness   0.544792  0.815913  0.653342
9       surprise   0.094118  0.571429  0.161616
10         trust   0.052288  0.333333  0.090395
11         micro   0.751535  0.622315  0.680848
12         macro   0.495427  0.642096  0.527166

         Emotion  Precision    Recall   F-Score
0          anger   0.777475  0.771867  0.774661
1   anticipation   0.129412  0.419847  0.197842
2        disgust   0.728844  0.727520  0.728182
3           fear   0.713402  0.760440  0.736170
4            joy   0.779473  0.867284  0.821037
5           love   0.463178  0.694767  0.555814
6       optimism   0.608049  0.729276  0.663168
7      pessimism   0.152000  0.471074  0.229839
8        sadness   0.609375  0.750000  0.672414
9       surprise   0.070588  0.631579  0.126984
10         trust   0.013072  0.400000  0.025316
11         micro   0.755781  0.606430  0.672918
12         macro   0.483387  0.652507  0.517029

         Emotion  Precision    Recall   F-Score
0          anger   0.755677  0.779026  0.767174
1   anticipation   0.087059  0.420455  0.144250
2        disgust   0.711556  0.738432  0.724745
3           fear   0.672165  0.799020  0.730123
4            joy   0.782247  0.872390  0.824863
5           love   0.443798  0.691843  0.540732
6       optimism   0.692913  0.703375  0.698105
7      pessimism   0.045333  0.680000  0.085000
8        sadness   0.433333  0.861284  0.576577
9       surprise   0.105882  0.545455  0.177340
10         trust   0.071895  0.289474  0.115183
11         micro   0.770833  0.583047  0.663917
12         macro   0.464391  0.663650  0.504001

         Emotion  Precision    Recall   F-Score
0          anger   0.801998  0.733389  0.766161
1   anticipation   0.091765  0.410526  0.150000
2        disgust   0.721565  0.735622  0.728525
3           fear   0.618557  0.852273  0.716846
4            joy   0.773925  0.874608  0.821192
5           love   0.505814  0.644444  0.566775
6       optimism   0.581802  0.751412  0.655819
7      pessimism   0.093333  0.564516  0.160183
8        sadness   0.583333  0.784314  0.669056
9       surprise   0.135294  0.522727  0.214953
10         trust   0.019608  0.272727  0.036585
11         micro   0.763630  0.594485  0.668524
12         macro   0.474219  0.645087  0.512885

         Emotion  Precision    Recall   F-Score
0          anger   0.731153  0.795455  0.761950
1   anticipation   0.077647  0.452055  0.132530
2        disgust   0.694268  0.744390  0.718456
3           fear   0.684536  0.823821  0.747748
4            joy   0.816227  0.834160  0.825096
5           love   0.734496  0.541429  0.623355
6       optimism   0.672791  0.730294  0.700364
7      pessimism   0.154667  0.532110  0.239669
8        sadness   0.567708  0.784173  0.658610
9       surprise   0.100000  0.653846  0.173469
10         trust   0.039216  0.375000  0.071006
11         micro   0.748735  0.620663  0.678710
12         macro   0.501787  0.657283  0.527580


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.764214  0.773036  0.767949
1   anticipation   0.091294  0.423910  0.149069
2        disgust   0.711738  0.738228  0.724619
3           fear   0.675464  0.807302  0.734293
4            joy   0.796533  0.855044  0.824194
5           love   0.539535  0.644474  0.576538
6       optimism   0.657393  0.721282  0.685728
7      pessimism   0.123733  0.538581  0.192842
8        sadness   0.547708  0.799137  0.646000
9       surprise   0.101176  0.585007  0.170873
10         trust   0.039216  0.334107  0.067697
11         micro   0.758103  0.605388  0.672984
12         macro   0.483842  0.652125  0.517732
