Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.737511  0.790652  0.763158
1   anticipation   0.101176  0.488636  0.167641
2        disgust   0.716106  0.733458  0.724678
3           fear   0.659794  0.802005  0.723982
4            joy   0.796810  0.863261  0.828705
5           love   0.426357  0.681115  0.524434
6       optimism   0.638670  0.732197  0.682243
7      pessimism   0.320000  0.382166  0.348331
8        sadness   0.596875  0.738402  0.660138
9       surprise   0.117647  0.540541  0.193237
10         trust   0.058824  0.257143  0.095745
11         micro   0.747344  0.607828  0.670404
12         macro   0.493093  0.634784  0.531891

         Emotion  Precision    Recall   F-Score
0          anger   0.778383  0.765862  0.772072
1   anticipation   0.096471  0.488095  0.161100
2        disgust   0.772520  0.706323  0.737940
3           fear   0.620619  0.836111  0.712426
4            joy   0.804438  0.851064  0.827094
5           love   0.556202  0.618534  0.585714
6       optimism   0.594926  0.735135  0.657640
7      pessimism   0.184000  0.431250  0.257944
8        sadness   0.632292  0.696101  0.662664
9       surprise   0.100000  0.515152  0.167488
10         trust   0.058824  0.360000  0.101124
11         micro   0.738157  0.619774  0.673805
12         macro   0.494736  0.635283  0.526418

         Emotion  Precision    Recall   F-Score
0          anger   0.801090  0.744932  0.771991
1   anticipation   0.145882  0.446043  0.219858
2        disgust   0.754322  0.704932  0.728791
3           fear   0.742268  0.708661  0.725076
4            joy   0.761442  0.880513  0.816660
5           love   0.509690  0.617371  0.558386
6       optimism   0.552931  0.752381  0.637418
7      pessimism   0.138667  0.495238  0.216667
8        sadness   0.639583  0.664502  0.651805
9       surprise   0.194118  0.370787  0.254826
10         trust   0.065359  0.384615  0.111732
11         micro   0.725540  0.614436  0.665382
12         macro   0.502574  0.615368  0.529883

         Emotion  Precision    Recall   F-Score
0          anger   0.788374  0.750216  0.768822
1   anticipation   0.131765  0.408759  0.199288
2        disgust   0.768881  0.700663  0.733189
3           fear   0.713402  0.765487  0.738527
4            joy   0.790569  0.860377  0.823997
5           love   0.482558  0.655263  0.555804
6       optimism   0.555556  0.745305  0.636591
7      pessimism   0.122667  0.522727  0.198704
8        sadness   0.562500  0.754190  0.644391
9       surprise   0.123529  0.552632  0.201923
10         trust   0.019608  0.214286  0.035928
11         micro   0.746112  0.603507  0.667276
12         macro   0.483793  0.627784  0.517037

         Emotion  Precision    Recall   F-Score
0          anger   0.778383  0.755732  0.766890
1   anticipation   0.098824  0.400000  0.158491
2        disgust   0.715196  0.726433  0.720770
3           fear   0.639175  0.828877  0.721769
4            joy   0.787101  0.865091  0.824256
5           love   0.486434  0.641944  0.553473
6       optimism   0.611549  0.741251  0.670182
7      pessimism   0.149333  0.543689  0.234310
8        sadness   0.595833  0.712329  0.648894
9       surprise   0.082353  0.583333  0.144330
10         trust   0.045752  0.291667  0.079096
11         micro   0.751231  0.600966  0.667749
12         macro   0.478430  0.640943  0.515851


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.776748  0.761479  0.768587
1   anticipation   0.114824  0.446307  0.181276
2        disgust   0.745405  0.714362  0.729074
3           fear   0.675052  0.788228  0.724356
4            joy   0.788072  0.864061  0.824143
5           love   0.492248  0.642845  0.555562
6       optimism   0.590726  0.741254  0.656815
7      pessimism   0.182933  0.475014  0.251191
8        sadness   0.605417  0.713105  0.653578
9       surprise   0.123529  0.512489  0.192361
10         trust   0.049673  0.301542  0.084725
11         micro   0.741677  0.609302  0.668923
12         macro   0.490525  0.630832  0.524216
