Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.665758  0.830125  0.738911
1   anticipation   0.054118  0.489362  0.097458
2        disgust   0.559600  0.785441  0.653560
3           fear   0.694845  0.800475  0.743929
4            joy   0.823162  0.842441  0.832690
5           love   0.612403  0.620825  0.616585
6       optimism   0.627297  0.719880  0.670407
7      pessimism   0.210667  0.496855  0.295880
8        sadness   0.557292  0.777616  0.649272
9       surprise   0.076471  0.619048  0.136126
10         trust   0.091503  0.378378  0.147368
11         micro   0.767512  0.580633  0.661120
12         macro   0.478386  0.661757  0.520276

         Emotion  Precision    Recall   F-Score
0          anger   0.841962  0.711435  0.771215
1   anticipation   0.014118  0.500000  0.027460
2        disgust   0.834395  0.651741  0.731844
3           fear   0.651546  0.829396  0.729792
4            joy   0.755201  0.897774  0.820339
5           love   0.488372  0.698061  0.574686
6       optimism   0.566054  0.747113  0.644102
7      pessimism   0.213333  0.459770  0.291439
8        sadness   0.638542  0.712791  0.673626
9       surprise   0.100000  0.653846  0.173469
10         trust   0.058824  0.473684  0.104651
11         micro   0.735880  0.619265  0.672555
12         macro   0.491519  0.662906  0.517932

         Emotion  Precision    Recall   F-Score
0          anger   0.743869  0.784483  0.763636
1   anticipation   0.096471  0.405941  0.155894
2        disgust   0.674249  0.769470  0.718720
3           fear   0.672165  0.806931  0.733408
4            joy   0.768377  0.879365  0.820133
5           love   0.465116  0.722892  0.566038
6       optimism   0.634296  0.733064  0.680113
7      pessimism   0.200000  0.490196  0.284091
8        sadness   0.598958  0.763612  0.671337
9       surprise   0.100000  0.515152  0.167488
10         trust   0.065359  0.208333  0.099502
11         micro   0.769243  0.594358  0.670586
12         macro   0.482342  0.639483  0.527579

         Emotion  Precision    Recall   F-Score
0          anger   0.799273  0.743243  0.770241
1   anticipation   0.105882  0.450000  0.171429
2        disgust   0.715196  0.736645  0.725762
3           fear   0.608247  0.852601  0.709988
4            joy   0.751040  0.892092  0.815512
5           love   0.350775  0.760504  0.480106
6       optimism   0.639545  0.713867  0.674665
7      pessimism   0.066667  0.641026  0.120773
8        sadness   0.438542  0.833663  0.574744
9       surprise   0.111765  0.575758  0.187192
10         trust   0.013072  0.400000  0.025316
11         micro   0.776368  0.567798  0.655901
12         macro   0.448031  0.680600  0.492636

         Emotion  Precision    Recall   F-Score
0          anger   0.712080  0.801636  0.754209
1   anticipation   0.063529  0.473684  0.112033
2        disgust   0.676069  0.758938  0.715111
3           fear   0.698969  0.801418  0.746696
4            joy   0.769764  0.881652  0.821918
5           love   0.515504  0.678571  0.585903
6       optimism   0.520560  0.754119  0.615942
7      pessimism   0.168000  0.572727  0.259794
8        sadness   0.553125  0.785503  0.649144
9       surprise   0.088235  0.600000  0.153846
10         trust   0.013072  0.500000  0.025478
11         micro   0.786191  0.568687  0.659981
12         macro   0.463758  0.681411  0.508338


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.752589  0.774184  0.759642
1   anticipation   0.066824  0.463797  0.112855
2        disgust   0.691902  0.740447  0.708999
3           fear   0.665155  0.818164  0.732763
4            joy   0.773509  0.878665  0.822118
5           love   0.486434  0.696171  0.564664
6       optimism   0.597550  0.733609  0.657046
7      pessimism   0.171733  0.532115  0.250395
8        sadness   0.557292  0.774637  0.643625
9       surprise   0.095294  0.592761  0.163624
10         trust   0.048366  0.392079  0.080463
11         micro   0.767039  0.586148  0.664029
12         macro   0.472807  0.665231  0.513352
