Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.820163  0.729992  0.772455
1   anticipation   0.112941  0.421053  0.178108
2        disgust   0.775250  0.700658  0.736069
3           fear   0.651546  0.802030  0.718999
4            joy   0.791262  0.854682  0.821750
5           love   0.670543  0.558065  0.609155
6       optimism   0.710411  0.701815  0.706087
7      pessimism   0.205333  0.411765  0.274021
8        sadness   0.564583  0.755927  0.646392
9       surprise   0.082353  0.583333  0.144330
10         trust   0.026144  0.222222  0.046784
11         micro   0.720188  0.642394  0.679070
12         macro   0.510893  0.615328  0.527768

         Emotion  Precision    Recall   F-Score
0          anger   0.751135  0.798263  0.773982
1   anticipation   0.120000  0.418033  0.186472
2        disgust   0.714286  0.740566  0.727189
3           fear   0.698969  0.786543  0.740175
4            joy   0.791262  0.859834  0.824124
5           love   0.374031  0.684397  0.483709
6       optimism   0.672791  0.731684  0.701003
7      pessimism   0.181333  0.447368  0.258065
8        sadness   0.627083  0.707403  0.664826
9       surprise   0.076471  0.650000  0.136842
10         trust   0.045752  0.291667  0.079096
11         micro   0.754405  0.609353  0.674165
12         macro   0.483960  0.643759  0.520804

         Emotion  Precision    Recall   F-Score
0          anger   0.813806  0.726094  0.767452
1   anticipation   0.084706  0.400000  0.139806
2        disgust   0.832575  0.664971  0.739394
3           fear   0.777320  0.668440  0.718780
4            joy   0.723301  0.906169  0.804474
5           love   0.558140  0.630197  0.591984
6       optimism   0.566929  0.774194  0.654545
7      pessimism   0.149333  0.495575  0.229508
8        sadness   0.619792  0.722087  0.667040
9       surprise   0.070588  0.631579  0.126984
10         trust   0.026144  0.285714  0.047904
11         micro   0.729151  0.618884  0.669508
12         macro   0.495982  0.626992  0.513115

         Emotion  Precision    Recall   F-Score
0          anger   0.829246  0.738076  0.781009
1   anticipation   0.098824  0.365217  0.155556
2        disgust   0.741583  0.727679  0.734565
3           fear   0.674227  0.780430  0.723451
4            joy   0.783634  0.864575  0.822117
5           love   0.596899  0.612326  0.604514
6       optimism   0.647419  0.727630  0.685185
7      pessimism   0.144000  0.418605  0.214286
8        sadness   0.597917  0.725664  0.655625
9       surprise   0.076471  0.650000  0.136842
10         trust   0.039216  0.428571  0.071856
11         micro   0.737710  0.625492  0.676982
12         macro   0.497262  0.638689  0.521832

         Emotion  Precision    Recall   F-Score
0          anger   0.754768  0.778090  0.766252
1   anticipation   0.061176  0.448276  0.107660
2        disgust   0.716106  0.738967  0.727357
3           fear   0.665979  0.821883  0.735763
4            joy   0.804438  0.836941  0.820368
5           love   0.563953  0.629870  0.595092
6       optimism   0.704287  0.688034  0.696066
7      pessimism   0.157333  0.433824  0.230920
8        sadness   0.619792  0.715144  0.664062
9       surprise   0.094118  0.592593  0.162437
10         trust   0.078431  0.307692  0.125000
11         micro   0.739150  0.623332  0.676319
12         macro   0.496628  0.634554  0.525608


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.793824  0.754103  0.772230
1   anticipation   0.095529  0.410516  0.153520
2        disgust   0.755960  0.714568  0.732915
3           fear   0.693608  0.771865  0.727434
4            joy   0.778779  0.864440  0.818567
5           love   0.552713  0.622971  0.576891
6       optimism   0.660367  0.724671  0.688577
7      pessimism   0.167467  0.441427  0.241360
8        sadness   0.605833  0.725245  0.659589
9       surprise   0.080000  0.621501  0.141487
10         trust   0.043137  0.307173  0.074128
11         micro   0.736121  0.623891  0.675209
12         macro   0.496945  0.631864  0.521826
