Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.800182  0.732336  0.764757
1   anticipation   0.127059  0.432000  0.196364
2        disgust   0.776160  0.687349  0.729060
3           fear   0.655670  0.757143  0.702762
4            joy   0.785021  0.851128  0.816739
5           love   0.453488  0.674352  0.542294
6       optimism   0.615923  0.737945  0.671435
7      pessimism   0.082667  0.508197  0.142202
8        sadness   0.525000  0.768293  0.623762
9       surprise   0.064706  0.578947  0.116402
10         trust   0.039216  0.352941  0.070588
11         micro   0.741880  0.600839  0.663952
12         macro   0.472248  0.640122  0.503360

         Emotion  Precision    Recall   F-Score
0          anger   0.662125  0.816349  0.731194
1   anticipation   0.087059  0.415730  0.143969
2        disgust   0.665150  0.762252  0.710398
3           fear   0.612371  0.818182  0.700472
4            joy   0.824549  0.823978  0.824263
5           love   0.455426  0.654596  0.537143
6       optimism   0.699038  0.688793  0.693878
7      pessimism   0.120000  0.450000  0.189474
8        sadness   0.596875  0.718045  0.651877
9       surprise   0.111765  0.395833  0.174312
10         trust   0.071895  0.186441  0.103774
11         micro   0.743900  0.592833  0.659830
12         macro   0.470846  0.610253  0.510049

         Emotion  Precision    Recall   F-Score
0          anger   0.743869  0.769737  0.756582
1   anticipation   0.077647  0.407407  0.130435
2        disgust   0.698817  0.752941  0.724870
3           fear   0.552577  0.850794  0.670000
4            joy   0.792649  0.857464  0.823784
5           love   0.656977  0.576531  0.614130
6       optimism   0.541557  0.746683  0.627789
7      pessimism   0.184000  0.456954  0.262357
8        sadness   0.605208  0.689205  0.644481
9       surprise   0.100000  0.435897  0.162679
10         trust   0.045752  0.184211  0.073298
11         micro   0.740041  0.592578  0.658151
12         macro   0.478258  0.610034  0.512380

         Emotion  Precision    Recall   F-Score
0          anger   0.795640  0.734283  0.763731
1   anticipation   0.082353  0.406977  0.136986
2        disgust   0.757962  0.707732  0.731986
3           fear   0.587629  0.787293  0.672963
4            joy   0.768377  0.868339  0.815305
5           love   0.587209  0.622177  0.604187
6       optimism   0.596675  0.747807  0.663747
7      pessimism   0.096000  0.467532  0.159292
8        sadness   0.478125  0.787307  0.594945
9       surprise   0.070588  0.521739  0.124352
10         trust   0.065359  0.312500  0.108108
11         micro   0.747262  0.589529  0.659089
12         macro   0.469432  0.629434  0.502891

         Emotion  Precision    Recall   F-Score
0          anger   0.742053  0.795521  0.767857
1   anticipation   0.096471  0.450549  0.158915
2        disgust   0.707006  0.744966  0.725490
3           fear   0.602062  0.806630  0.689492
4            joy   0.806519  0.833692  0.819880
5           love   0.426357  0.648968  0.514620
6       optimism   0.756780  0.670543  0.711056
7      pessimism   0.136000  0.463636  0.210309
8        sadness   0.604167  0.720497  0.657224
9       surprise   0.088235  0.517241  0.150754
10         trust   0.143791  0.275000  0.188841
11         micro   0.737026  0.615453  0.670776
12         macro   0.487206  0.628558  0.522101


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.748774  0.769645  0.756824
1   anticipation   0.094118  0.422533  0.153334
2        disgust   0.721019  0.731048  0.724361
3           fear   0.602062  0.804008  0.687138
4            joy   0.795423  0.846920  0.819994
5           love   0.515891  0.635324  0.562475
6       optimism   0.641995  0.718354  0.673581
7      pessimism   0.123733  0.469264  0.192727
8        sadness   0.561875  0.736669  0.634458
9       surprise   0.087059  0.489932  0.145700
10         trust   0.073203  0.262218  0.108922
11         micro   0.742022  0.598246  0.662360
12         macro   0.475598  0.623680  0.510156
