Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.824705  0.718354  0.767865
1   anticipation   0.148235  0.406452  0.217241
2        disgust   0.829845  0.642254  0.724097
3           fear   0.670103  0.779376  0.720621
4            joy   0.769071  0.880159  0.820873
5           love   0.437984  0.743421  0.551220
6       optimism   0.607174  0.739084  0.666667
7      pessimism   0.149333  0.509091  0.230928
8        sadness   0.641667  0.725559  0.681039
9       surprise   0.123529  0.500000  0.198113
10         trust   0.045752  0.269231  0.078212
11         micro   0.727527  0.627399  0.673763
12         macro   0.497911  0.628365  0.527553

         Emotion  Precision    Recall   F-Score
0          anger   0.762943  0.774908  0.768879
1   anticipation   0.112941  0.461538  0.181474
2        disgust   0.773430  0.700742  0.735294
3           fear   0.680412  0.802920  0.736607
4            joy   0.791956  0.863843  0.826339
5           love   0.480620  0.718841  0.576074
6       optimism   0.637795  0.718935  0.675939
7      pessimism   0.149333  0.495575  0.229508
8        sadness   0.530208  0.805380  0.639447
9       surprise   0.088235  0.535714  0.151515
10         trust   0.065359  0.256410  0.104167
11         micro   0.757653  0.607066  0.674051
12         macro   0.485907  0.645156  0.524941

         Emotion  Precision    Recall   F-Score
0          anger   0.684832  0.809013  0.741761
1   anticipation   0.178824  0.404255  0.247961
2        disgust   0.676979  0.751515  0.712303
3           fear   0.731959  0.744235  0.738046
4            joy   0.812067  0.841236  0.826394
5           love   0.468992  0.731118  0.571429
6       optimism   0.664042  0.708022  0.685327
7      pessimism   0.194667  0.474026  0.275992
8        sadness   0.603125  0.731985  0.661336
9       surprise   0.117647  0.454545  0.186916
10         trust   0.058824  0.321429  0.099448
11         micro   0.747304  0.607701  0.670311
12         macro   0.494938  0.631590  0.534769

         Emotion  Precision    Recall   F-Score
0          anger   0.761126  0.789821  0.775208
1   anticipation   0.040000  0.459459  0.073593
2        disgust   0.728844  0.736213  0.732510
3           fear   0.637113  0.826203  0.719441
4            joy   0.781553  0.870943  0.823830
5           love   0.548450  0.649083  0.594538
6       optimism   0.608049  0.744111  0.669234
7      pessimism   0.160000  0.413793  0.230769
8        sadness   0.668750  0.661856  0.665285
9       surprise   0.100000  0.515152  0.167488
10         trust   0.039216  0.428571  0.071856
11         micro   0.750861  0.609353  0.672746
12         macro   0.485330  0.642047  0.516375

         Emotion  Precision    Recall   F-Score
0          anger   0.732970  0.803785  0.766746
1   anticipation   0.145882  0.466165  0.222222
2        disgust   0.685168  0.759073  0.720230
3           fear   0.676289  0.782816  0.725664
4            joy   0.804438  0.859896  0.831243
5           love   0.437984  0.722045  0.545235
6       optimism   0.695538  0.718157  0.706667
7      pessimism   0.096000  0.580645  0.164760
8        sadness   0.538542  0.820635  0.650314
9       surprise   0.141176  0.380952  0.206009
10         trust   0.052288  0.296296  0.088889
11         micro   0.773242  0.599314  0.675258
12         macro   0.481626  0.649148  0.525270


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.753315  0.779176  0.764092
1   anticipation   0.125176  0.439574  0.188498
2        disgust   0.738854  0.717959  0.724887
3           fear   0.679175  0.787110  0.728076
4            joy   0.791817  0.863215  0.825736
5           love   0.474806  0.712901  0.567699
6       optimism   0.642520  0.725662  0.680767
7      pessimism   0.149867  0.494626  0.226391
8        sadness   0.596458  0.749083  0.659484
9       surprise   0.114118  0.477273  0.182008
10         trust   0.052288  0.314387  0.088514
11         micro   0.751317  0.610166  0.673226
12         macro   0.489143  0.639261  0.525782
