Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.761126  0.757685  0.759402
1   anticipation   0.054118  0.442308  0.096436
2        disgust   0.709736  0.733083  0.721221
3           fear   0.564948  0.820359  0.669109
4            joy   0.757975  0.860630  0.806047
5           love   0.366279  0.724138  0.486486
6       optimism   0.592301  0.758119  0.665029
7      pessimism   0.258667  0.416309  0.319079
8        sadness   0.589583  0.703980  0.641723
9       surprise   0.076471  0.619048  0.136126
10         trust   0.045752  0.411765  0.082353
11         micro   0.752601  0.579108  0.654553
12         macro   0.460796  0.652211  0.503130

         Emotion  Precision    Recall   F-Score
0          anger   0.756585  0.749101  0.752824
1   anticipation   0.072941  0.476923  0.126531
2        disgust   0.741583  0.718062  0.729633
3           fear   0.560825  0.829268  0.669127
4            joy   0.736477  0.880597  0.802115
5           love   0.527132  0.671605  0.590662
6       optimism   0.531934  0.785530  0.634324
7      pessimism   0.170667  0.450704  0.247582
8        sadness   0.596875  0.712687  0.649660
9       surprise   0.094118  0.533333  0.160000
10         trust   0.065359  0.434783  0.113636
11         micro   0.756308  0.578981  0.655870
12         macro   0.467567  0.651798  0.510997

         Emotion  Precision    Recall   F-Score
0          anger   0.800182  0.732945  0.765089
1   anticipation   0.056471  0.533333  0.102128
2        disgust   0.750682  0.718016  0.733986
3           fear   0.622680  0.760705  0.684807
4            joy   0.737171  0.882890  0.803477
5           love   0.478682  0.660428  0.555056
6       optimism   0.611549  0.756494  0.676343
7      pessimism   0.157333  0.491667  0.238384
8        sadness   0.588542  0.710692  0.643875
9       surprise   0.100000  0.485714  0.165854
10         trust   0.045752  0.280000  0.078652
11         micro   0.747847  0.595883  0.663272
12         macro   0.474741  0.634064  0.509243

         Emotion  Precision    Recall   F-Score
0          anger   0.714805  0.774606  0.743505
1   anticipation   0.136471  0.456693  0.210145
2        disgust   0.692448  0.742439  0.716573
3           fear   0.600000  0.776000  0.676744
4            joy   0.773232  0.858353  0.813572
5           love   0.521318  0.656098  0.580994
6       optimism   0.629046  0.740474  0.680227
7      pessimism   0.125333  0.559524  0.204793
8        sadness   0.503125  0.777778  0.611006
9       surprise   0.070588  0.705882  0.128342
10         trust   0.065359  0.344828  0.109890
11         micro   0.761969  0.578472  0.657661
12         macro   0.466141  0.664262  0.511121

         Emotion  Precision    Recall   F-Score
0          anger   0.720254  0.774414  0.746353
1   anticipation   0.087059  0.500000  0.148297
2        disgust   0.706096  0.736942  0.721190
3           fear   0.635052  0.735084  0.681416
4            joy   0.748960  0.877335  0.808081
5           love   0.418605  0.724832  0.530713
6       optimism   0.626422  0.721047  0.670412
7      pessimism   0.117333  0.478261  0.188437
8        sadness   0.609375  0.695600  0.649639
9       surprise   0.100000  0.548387  0.169154
10         trust   0.019608  0.500000  0.037736
11         micro   0.754701  0.581395  0.656809
12         macro   0.461955  0.656108  0.500686


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.750590  0.757750  0.753435
1   anticipation   0.081412  0.481851  0.136707
2        disgust   0.720109  0.729708  0.724520
3           fear   0.596701  0.784283  0.676241
4            joy   0.750763  0.871961  0.806658
5           love   0.462403  0.687420  0.548782
6       optimism   0.598250  0.752333  0.665267
7      pessimism   0.165867  0.479293  0.239655
8        sadness   0.577500  0.720147  0.639181
9       surprise   0.088235  0.578473  0.151895
10         trust   0.048366  0.394275  0.084453
11         micro   0.754685  0.582768  0.657633
12         macro   0.466240  0.651689  0.507036
