Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.648501  0.823529  0.725610
1   anticipation   0.089412  0.395833  0.145873
2        disgust   0.618744  0.762332  0.683074
3           fear   0.659794  0.818414  0.730594
4            joy   0.839806  0.795141  0.816863
5           love   0.660853  0.574074  0.614414
6       optimism   0.734033  0.677706  0.704746
7      pessimism   0.162667  0.476562  0.242545
8        sadness   0.510417  0.804598  0.624602
9       surprise   0.141176  0.480000  0.218182
10         trust   0.039216  0.200000  0.065574
11         micro   0.736055  0.600330  0.661300
12         macro   0.486723  0.617377  0.519448

         Emotion  Precision    Recall   F-Score
0          anger   0.692098  0.802950  0.743415
1   anticipation   0.023529  0.434783  0.044643
2        disgust   0.657871  0.720120  0.687589
3           fear   0.610309  0.853026  0.711538
4            joy   0.856449  0.782636  0.817881
5           love   0.651163  0.568528  0.607046
6       optimism   0.634296  0.723553  0.675991
7      pessimism   0.165333  0.496000  0.248000
8        sadness   0.595833  0.736165  0.658607
9       surprise   0.076471  0.684211  0.137566
10         trust   0.032680  0.625000  0.062112
11         micro   0.737817  0.602237  0.663168
12         macro   0.477821  0.669101  0.504796

         Emotion  Precision    Recall   F-Score
0          anger   0.777475  0.744348  0.760551
1   anticipation   0.056471  0.421053  0.099585
2        disgust   0.762511  0.694283  0.726800
3           fear   0.602062  0.866469  0.710462
4            joy   0.761442  0.865248  0.810033
5           love   0.459302  0.688953  0.551163
6       optimism   0.674541  0.711911  0.692722
7      pessimism   0.125333  0.559524  0.204793
8        sadness   0.498958  0.813243  0.618464
9       surprise   0.070588  0.631579  0.126984
10         trust   0.026144  0.222222  0.046784
11         micro   0.756537  0.591943  0.664195
12         macro   0.464280  0.650898  0.501045

         Emotion  Precision    Recall   F-Score
0          anger   0.680291  0.793432  0.732518
1   anticipation   0.084706  0.418605  0.140900
2        disgust   0.644222  0.745263  0.691069
3           fear   0.696907  0.762980  0.728448
4            joy   0.794036  0.827910  0.810619
5           love   0.575581  0.613636  0.594000
6       optimism   0.618548  0.722165  0.666352
7      pessimism   0.112000  0.446809  0.179104
8        sadness   0.578125  0.751015  0.653325
9       surprise   0.100000  0.548387  0.169154
10         trust   0.026144  0.571429  0.050000
11         micro   0.748860  0.584318  0.656435
12         macro   0.471618  0.648829  0.505994

         Emotion  Precision    Recall   F-Score
0          anger   0.763851  0.763158  0.763504
1   anticipation   0.054118  0.450980  0.096639
2        disgust   0.750682  0.693860  0.721154
3           fear   0.628866  0.819892  0.711785
4            joy   0.773232  0.863003  0.815655
5           love   0.575581  0.604888  0.589871
6       optimism   0.550306  0.766139  0.640530
7      pessimism   0.146667  0.518868  0.228690
8        sadness   0.576042  0.741287  0.648300
9       surprise   0.094118  0.666667  0.164948
10         trust   0.039216  0.428571  0.071856
11         micro   0.751450  0.592833  0.662783
12         macro   0.475344  0.659179  0.509643


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.712443  0.785484  0.745120
1   anticipation   0.061647  0.424251  0.105528
2        disgust   0.686806  0.723172  0.701937
3           fear   0.639588  0.824156  0.718566
4            joy   0.804993  0.826788  0.814210
5           love   0.584496  0.610016  0.591299
6       optimism   0.642345  0.720295  0.676068
7      pessimism   0.142400  0.499553  0.220626
8        sadness   0.551875  0.769261  0.640660
9       surprise   0.096471  0.602169  0.163367
10         trust   0.032680  0.409444  0.059265
11         micro   0.746144  0.594332  0.661576
12         macro   0.475157  0.649077  0.508185
