Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.718438  0.777778  0.746931
1   anticipation   0.089412  0.376238  0.144487
2        disgust   0.749773  0.709122  0.728881
3           fear   0.589691  0.826590  0.688327
4            joy   0.742025  0.890183  0.809380
5           love   0.443798  0.689759  0.540094
6       optimism   0.546807  0.776398  0.641684
7      pessimism   0.186667  0.364583  0.246914
8        sadness   0.689583  0.638380  0.662994
9       surprise   0.100000  0.472222  0.165049
10         trust   0.058824  0.230769  0.093750
11         micro   0.737119  0.587241  0.653699
12         macro   0.471011  0.611605  0.510182

         Emotion  Precision    Recall   F-Score
0          anger   0.775658  0.758437  0.766951
1   anticipation   0.042353  0.473684  0.077754
2        disgust   0.753412  0.721254  0.736983
3           fear   0.579381  0.807471  0.674670
4            joy   0.770458  0.869327  0.816912
5           love   0.478682  0.655172  0.553191
6       optimism   0.668416  0.697717  0.682752
7      pessimism   0.112000  0.512195  0.183807
8        sadness   0.530208  0.757440  0.623775
9       surprise   0.070588  0.631579  0.126984
10         trust   0.032680  0.263158  0.058140
11         micro   0.753144  0.593595  0.663919
12         macro   0.463915  0.645086  0.497153

         Emotion  Precision    Recall   F-Score
0          anger   0.671208  0.807650  0.733135
1   anticipation   0.160000  0.369565  0.223317
2        disgust   0.633303  0.772475  0.696000
3           fear   0.595876  0.865269  0.705739
4            joy   0.785714  0.862253  0.822206
5           love   0.598837  0.614314  0.606477
6       optimism   0.675416  0.703737  0.689286
7      pessimism   0.192000  0.444444  0.268156
8        sadness   0.589583  0.725641  0.650575
9       surprise   0.094118  0.457143  0.156098
10         trust   0.052288  0.307692  0.089385
11         micro   0.746761  0.593214  0.661190
12         macro   0.482925  0.626950  0.525130

         Emotion  Precision    Recall   F-Score
0          anger   0.804723  0.734051  0.767764
1   anticipation   0.096471  0.500000  0.161736
2        disgust   0.820746  0.651264  0.726248
3           fear   0.577320  0.851064  0.687961
4            joy   0.763523  0.869668  0.813146
5           love   0.418605  0.677116  0.517365
6       optimism   0.531934  0.763819  0.627127
7      pessimism   0.221333  0.393365  0.283276
8        sadness   0.634375  0.674419  0.653784
9       surprise   0.076471  0.433333  0.130000
10         trust   0.071895  0.297297  0.115789
11         micro   0.723534  0.603635  0.658168
12         macro   0.478411  0.620753  0.511864

         Emotion  Precision    Recall   F-Score
0          anger   0.745686  0.779677  0.762303
1   anticipation   0.068235  0.517857  0.120582
2        disgust   0.677889  0.759429  0.716346
3           fear   0.645361  0.754217  0.695556
4            joy   0.816921  0.828411  0.822626
5           love   0.436047  0.677711  0.530660
6       optimism   0.758530  0.664877  0.708623
7      pessimism   0.165333  0.436620  0.239845
8        sadness   0.460417  0.800725  0.584656
9       surprise   0.094118  0.372093  0.150235
10         trust   0.039216  0.461538  0.072289
11         micro   0.745129  0.597789  0.663376
12         macro   0.471073  0.637579  0.505591


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.743143  0.771519  0.755417
1   anticipation   0.091294  0.447469  0.145575
2        disgust   0.727025  0.722709  0.720892
3           fear   0.597526  0.820922  0.690450
4            joy   0.775728  0.863968  0.816854
5           love   0.475194  0.662814  0.549558
6       optimism   0.636220  0.721310  0.669894
7      pessimism   0.175467  0.430242  0.244400
8        sadness   0.580833  0.719321  0.635157
9       surprise   0.087059  0.473274  0.145673
10         trust   0.050980  0.312091  0.085871
11         micro   0.741137  0.595095  0.660070
12         macro   0.473467  0.628394  0.509984
