Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.762943  0.764331  0.763636
1   anticipation   0.089412  0.387755  0.145315
2        disgust   0.726115  0.708703  0.717303
3           fear   0.637113  0.858333  0.731361
4            joy   0.795423  0.861111  0.826965
5           love   0.627907  0.612476  0.620096
6       optimism   0.654418  0.725509  0.688132
7      pessimism   0.181333  0.500000  0.266145
8        sadness   0.603125  0.765873  0.674825
9       surprise   0.135294  0.534884  0.215962
10         trust   0.000000  0.000000  0.000000
11         micro   0.748464  0.619393  0.677839
12         macro   0.496796  0.611531  0.527298

         Emotion  Precision    Recall   F-Score
0          anger   0.803815  0.730801  0.765571
1   anticipation   0.061176  0.456140  0.107884
2        disgust   0.800728  0.671243  0.730290
3           fear   0.684536  0.801932  0.738598
4            joy   0.791262  0.862434  0.825316
5           love   0.525194  0.698454  0.599558
6       optimism   0.633421  0.722555  0.675058
7      pessimism   0.162667  0.592233  0.255230
8        sadness   0.570833  0.759003  0.651605
9       surprise   0.117647  0.666667  0.200000
10         trust   0.104575  0.258065  0.148837
11         micro   0.740450  0.623205  0.676787
12         macro   0.499692  0.653561  0.531228

         Emotion  Precision    Recall   F-Score
0          anger   0.701181  0.798345  0.746615
1   anticipation   0.188235  0.338983  0.242057
2        disgust   0.642402  0.747090  0.690802
3           fear   0.729897  0.756410  0.742917
4            joy   0.834258  0.823409  0.828798
5           love   0.598837  0.620482  0.609467
6       optimism   0.688539  0.686138  0.687336
7      pessimism   0.112000  0.560000  0.186667
8        sadness   0.517708  0.809446  0.631512
9       surprise   0.111765  0.527778  0.184466
10         trust   0.045752  0.350000  0.080925
11         micro   0.738519  0.606939  0.666295
12         macro   0.492424  0.635418  0.524821

         Emotion  Precision    Recall   F-Score
0          anger   0.719346  0.796781  0.756086
1   anticipation   0.115294  0.415254  0.180479
2        disgust   0.670610  0.748984  0.707633
3           fear   0.618557  0.845070  0.714286
4            joy   0.787795  0.865194  0.824682
5           love   0.389535  0.752809  0.513410
6       optimism   0.581802  0.736434  0.650049
7      pessimism   0.181333  0.472222  0.262042
8        sadness   0.654167  0.691630  0.672377
9       surprise   0.094118  0.615385  0.163265
10         trust   0.045752  0.500000  0.083832
11         micro   0.763193  0.584445  0.661965
12         macro   0.468458  0.668684  0.515842

         Emotion  Precision    Recall   F-Score
0          anger   0.801998  0.733998  0.766493
1   anticipation   0.105882  0.478723  0.173410
2        disgust   0.767061  0.701331  0.732725
3           fear   0.682474  0.809291  0.740492
4            joy   0.746879  0.893035  0.813444
5           love   0.567829  0.658427  0.609781
6       optimism   0.519685  0.761538  0.617785
7      pessimism   0.181333  0.472222  0.262042
8        sadness   0.617708  0.723171  0.666292
9       surprise   0.170588  0.557692  0.261261
10         trust   0.052288  0.421053  0.093023
11         micro   0.747411  0.605414  0.668960
12         macro   0.496762  0.651325  0.533809


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.757856  0.764851  0.759680
1   anticipation   0.112000  0.415371  0.169829
2        disgust   0.721383  0.715470  0.715751
3           fear   0.670515  0.814207  0.733531
4            joy   0.791123  0.861037  0.823841
5           love   0.541860  0.668530  0.590462
6       optimism   0.615573  0.726435  0.663672
7      pessimism   0.163733  0.519335  0.246425
8        sadness   0.592708  0.749825  0.659322
9       surprise   0.125882  0.580481  0.204991
10         trust   0.049673  0.305823  0.081324
11         micro   0.747607  0.607879  0.670369
12         macro   0.490826  0.644104  0.526600
