Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.822888  0.727711  0.772379
1   anticipation   0.094118  0.512821  0.159046
2        disgust   0.802548  0.673797  0.732558
3           fear   0.643299  0.812500  0.718067
4            joy   0.723301  0.889932  0.798011
5           love   0.449612  0.686391  0.543326
6       optimism   0.503937  0.778378  0.611790
7      pessimism   0.133333  0.515464  0.211864
8        sadness   0.567708  0.757997  0.649196
9       surprise   0.105882  0.562500  0.178218
10         trust   0.006536  0.090909  0.012195
11         micro   0.751837  0.585208  0.658139
12         macro   0.467083  0.632801  0.503732

         Emotion  Precision    Recall   F-Score
0          anger   0.831971  0.700306  0.760482
1   anticipation   0.087059  0.528571  0.149495
2        disgust   0.757052  0.698573  0.726638
3           fear   0.653608  0.802532  0.720455
4            joy   0.824549  0.839689  0.832050
5           love   0.544574  0.628635  0.583593
6       optimism   0.675416  0.715477  0.694869
7      pessimism   0.122667  0.500000  0.197002
8        sadness   0.557292  0.791420  0.654034
9       surprise   0.117647  0.666667  0.200000
10         trust   0.013072  0.400000  0.025316
11         micro   0.737368  0.628669  0.678694
12         macro   0.493523  0.658378  0.518552

         Emotion  Precision    Recall   F-Score
0          anger   0.785649  0.755459  0.770258
1   anticipation   0.091765  0.458824  0.152941
2        disgust   0.723385  0.721416  0.722399
3           fear   0.672165  0.789346  0.726058
4            joy   0.756588  0.878422  0.812966
5           love   0.519380  0.690722  0.592920
6       optimism   0.651794  0.714971  0.681922
7      pessimism   0.112000  0.538462  0.185430
8        sadness   0.610417  0.719902  0.660654
9       surprise   0.117647  0.625000  0.198020
10         trust   0.052288  0.347826  0.090909
11         micro   0.751886  0.608082  0.672381
12         macro   0.487080  0.654036  0.522238

         Emotion  Precision    Recall   F-Score
0          anger   0.791099  0.738136  0.763700
1   anticipation   0.129412  0.509259  0.206379
2        disgust   0.778890  0.677751  0.724809
3           fear   0.711340  0.723270  0.717256
4            joy   0.708044  0.913238  0.797656
5           love   0.546512  0.663529  0.599362
6       optimism   0.621172  0.748945  0.679101
7      pessimism   0.200000  0.426136  0.272232
8        sadness   0.589583  0.736021  0.654714
9       surprise   0.111765  0.593750  0.188119
10         trust   0.091503  0.202899  0.126126
11         micro   0.733283  0.611768  0.667036
12         macro   0.501050  0.628725  0.533041

         Emotion  Precision    Recall   F-Score
0          anger   0.735695  0.784884  0.759494
1   anticipation   0.037647  0.533333  0.070330
2        disgust   0.686988  0.738748  0.711928
3           fear   0.649485  0.833333  0.730012
4            joy   0.798197  0.848820  0.822731
5           love   0.606589  0.618577  0.612524
6       optimism   0.603675  0.741139  0.665381
7      pessimism   0.120000  0.489130  0.192719
8        sadness   0.483333  0.842105  0.614163
9       surprise   0.105882  0.580645  0.179104
10         trust   0.039216  0.285714  0.068966
11         micro   0.770252  0.582412  0.663290
12         macro   0.469747  0.656570  0.507553


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.793460  0.741299  0.765262
1   anticipation   0.088000  0.508562  0.147638
2        disgust   0.749773  0.702057  0.723666
3           fear   0.665979  0.792196  0.722369
4            joy   0.762136  0.874020  0.812683
5           love   0.533333  0.657571  0.586345
6       optimism   0.611199  0.739782  0.666613
7      pessimism   0.137600  0.493838  0.211850
8        sadness   0.561667  0.769489  0.646552
9       surprise   0.111765  0.605712  0.188692
10         trust   0.040523  0.265470  0.064702
11         micro   0.748925  0.603228  0.667908
12         macro   0.483697  0.646102  0.517023
