Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.762035  0.755176  0.758590
1   anticipation   0.040000  0.515152  0.074236
2        disgust   0.734304  0.709139  0.721502
3           fear   0.628866  0.817694  0.710956
4            joy   0.775312  0.861989  0.816356
5           love   0.463178  0.688761  0.553882
6       optimism   0.513561  0.752564  0.610504
7      pessimism   0.154667  0.552381  0.241667
8        sadness   0.616667  0.699764  0.655592
9       surprise   0.070588  0.571429  0.125654
10         trust   0.006536  0.500000  0.012903
11         micro   0.755824  0.581395  0.657233
12         macro   0.460128  0.667120  0.494923

         Emotion  Precision    Recall   F-Score
0          anger   0.720254  0.762500  0.740775
1   anticipation   0.021176  0.450000  0.040449
2        disgust   0.683348  0.735553  0.708491
3           fear   0.595876  0.857567  0.703163
4            joy   0.730929  0.884971  0.800608
5           love   0.329457  0.779817  0.463215
6       optimism   0.600175  0.725159  0.656774
7      pessimism   0.130667  0.583333  0.213508
8        sadness   0.569792  0.754483  0.649258
9       surprise   0.076471  0.684211  0.137566
10         trust   0.045752  0.318182  0.080000
11         micro   0.776810  0.555090  0.647495
12         macro   0.440059  0.674239  0.486775

         Emotion  Precision    Recall   F-Score
0          anger   0.782016  0.722315  0.750981
1   anticipation   0.112941  0.457143  0.181132
2        disgust   0.746133  0.681629  0.712424
3           fear   0.618557  0.810811  0.701754
4            joy   0.796810  0.833817  0.814894
5           love   0.476744  0.666667  0.555932
6       optimism   0.686789  0.694690  0.690717
7      pessimism   0.122667  0.582278  0.202643
8        sadness   0.376042  0.859524  0.523188
9       surprise   0.094118  0.666667  0.164948
10         trust   0.071895  0.289474  0.115183
11         micro   0.736049  0.590037  0.655005
12         macro   0.468397  0.654588  0.505734

         Emotion  Precision    Recall   F-Score
0          anger   0.726612  0.764818  0.745226
1   anticipation   0.042353  0.439024  0.077253
2        disgust   0.720655  0.707143  0.713835
3           fear   0.618557  0.845070  0.714286
4            joy   0.757282  0.875000  0.811896
5           love   0.360465  0.746988  0.486275
6       optimism   0.638670  0.704633  0.670032
7      pessimism   0.093333  0.729167  0.165485
8        sadness   0.525000  0.789969  0.630788
9       surprise   0.129412  0.458333  0.201835
10         trust   0.058824  0.300000  0.098361
11         micro   0.766001  0.570339  0.653846
12         macro   0.453097  0.660874  0.497426

         Emotion  Precision    Recall   F-Score
0          anger   0.747502  0.748182  0.747842
1   anticipation   0.035294  0.600000  0.066667
2        disgust   0.729754  0.700437  0.714795
3           fear   0.564948  0.845679  0.677379
4            joy   0.787795  0.847129  0.816385
5           love   0.426357  0.721311  0.535932
6       optimism   0.670166  0.697632  0.683623
7      pessimism   0.077333  0.674419  0.138756
8        sadness   0.506250  0.801980  0.620690
9       surprise   0.070588  0.705882  0.128342
10         trust   0.071895  0.407407  0.122222
11         micro   0.758415  0.581268  0.658129
12         macro   0.453858  0.694277  0.492564


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.747684  0.750598  0.748683
1   anticipation   0.050353  0.492264  0.087947
2        disgust   0.722839  0.706780  0.714209
3           fear   0.605361  0.835364  0.701508
4            joy   0.769626  0.860581  0.812028
5           love   0.411240  0.720709  0.519047
6       optimism   0.621872  0.714936  0.662330
7      pessimism   0.115733  0.624316  0.192412
8        sadness   0.518750  0.781144  0.615903
9       surprise   0.088235  0.617304  0.151669
10         trust   0.050980  0.363013  0.085734
11         micro   0.758620  0.575626  0.654342
12         macro   0.455108  0.670220  0.495484
