Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.808356  0.744147  0.774924
1   anticipation   0.049412  0.420000  0.088421
2        disgust   0.787989  0.701215  0.742074
3           fear   0.657732  0.830729  0.734177
4            joy   0.744105  0.890456  0.810729
5           love   0.490310  0.674667  0.567901
6       optimism   0.642170  0.723153  0.680259
7      pessimism   0.120000  0.633803  0.201794
8        sadness   0.504167  0.818951  0.624113
9       surprise   0.076471  0.722222  0.138298
10         trust   0.032680  0.384615  0.060241
11         micro   0.764343  0.597662  0.670803
12         macro   0.473144  0.678468  0.507811

         Emotion  Precision    Recall   F-Score
0          anger   0.753860  0.787476  0.770302
1   anticipation   0.077647  0.478261  0.133603
2        disgust   0.689718  0.749012  0.718143
3           fear   0.657732  0.843915  0.739282
4            joy   0.808599  0.840058  0.824028
5           love   0.596899  0.602740  0.599805
6       optimism   0.588801  0.747778  0.658835
7      pessimism   0.165333  0.584906  0.257796
8        sadness   0.546875  0.795455  0.648148
9       surprise   0.064706  0.611111  0.117021
10         trust   0.006536  0.500000  0.012903
11         micro   0.768449  0.595501  0.671010
12         macro   0.477096  0.678018  0.512573

         Emotion  Precision    Recall   F-Score
0          anger   0.746594  0.775472  0.760759
1   anticipation   0.042353  0.486486  0.077922
2        disgust   0.767061  0.701331  0.732725
3           fear   0.692784  0.785047  0.736035
4            joy   0.776699  0.874317  0.822622
5           love   0.637597  0.556684  0.594399
6       optimism   0.584427  0.759091  0.660405
7      pessimism   0.178667  0.511450  0.264822
8        sadness   0.626042  0.727603  0.673012
9       surprise   0.064706  0.647059  0.117647
10         trust   0.000000  0.000000  0.000000
11         micro   0.745702  0.611895  0.672204
12         macro   0.488553  0.619703  0.509379

         Emotion  Precision    Recall   F-Score
0          anger   0.702089  0.815401  0.754514
1   anticipation   0.075294  0.385542  0.125984
2        disgust   0.646952  0.765339  0.701183
3           fear   0.663918  0.821429  0.734322
4            joy   0.825243  0.830426  0.827826
5           love   0.563953  0.603734  0.583166
6       optimism   0.763780  0.676744  0.717633
7      pessimism   0.144000  0.545455  0.227848
8        sadness   0.515625  0.814145  0.631378
9       surprise   0.070588  0.666667  0.127660
10         trust   0.058824  0.391304  0.102273
11         micro   0.755274  0.605159  0.671935
12         macro   0.482128  0.660112  0.517143

         Emotion  Precision    Recall   F-Score
0          anger   0.810173  0.737800  0.772294
1   anticipation   0.070588  0.447761  0.121951
2        disgust   0.787079  0.694222  0.737740
3           fear   0.696907  0.789720  0.740416
4            joy   0.789875  0.871461  0.828665
5           love   0.511628  0.666667  0.578947
6       optimism   0.650044  0.730580  0.687963
7      pessimism   0.218667  0.440860  0.292335
8        sadness   0.506250  0.814070  0.624277
9       surprise   0.082353  0.736842  0.148148
10         trust   0.013072  0.222222  0.024691
11         micro   0.749113  0.616978  0.676655
12         macro   0.490479  0.647432  0.519507


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.764214  0.772059  0.766559
1   anticipation   0.063059  0.443610  0.109576
2        disgust   0.735760  0.722224  0.726373
3           fear   0.673814  0.814168  0.736846
4            joy   0.788904  0.861344  0.822774
5           love   0.560078  0.620898  0.584844
6       optimism   0.645844  0.727469  0.681019
7      pessimism   0.165333  0.543295  0.248919
8        sadness   0.539792  0.794045  0.640186
9       surprise   0.071765  0.676780  0.129755
10         trust   0.022222  0.299628  0.040022
11         micro   0.756576  0.605439  0.672521
12         macro   0.482280  0.656747  0.513283
