Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.743869  0.780744  0.761860
1   anticipation   0.058824  0.431034  0.103520
2        disgust   0.709736  0.742857  0.725919
3           fear   0.682474  0.784360  0.729879
4            joy   0.817614  0.832627  0.825052
5           love   0.362403  0.760163  0.490814
6       optimism   0.609799  0.750269  0.672780
7      pessimism   0.122667  0.647887  0.206278
8        sadness   0.415625  0.875000  0.563559
9       surprise   0.100000  0.548387  0.169154
10         trust   0.052288  0.421053  0.093023
11         micro   0.780929  0.570339  0.659224
12         macro   0.454686  0.678727  0.500089

         Emotion  Precision    Recall   F-Score
0          anger   0.723887  0.800201  0.760134
1   anticipation   0.084706  0.409091  0.140351
2        disgust   0.669700  0.761117  0.712488
3           fear   0.696907  0.773455  0.733189
4            joy   0.753121  0.886531  0.814398
5           love   0.517442  0.665835  0.582334
6       optimism   0.608924  0.734952  0.666029
7      pessimism   0.173333  0.451389  0.250482
8        sadness   0.583333  0.751678  0.656891
9       surprise   0.064706  0.611111  0.117021
10         trust   0.019608  0.375000  0.037267
11         micro   0.768909  0.583937  0.663778
12         macro   0.472048  0.650358  0.511197

         Emotion  Precision    Recall   F-Score
0          anger   0.779292  0.762667  0.770889
1   anticipation   0.077647  0.434211  0.131737
2        disgust   0.744313  0.716915  0.730357
3           fear   0.659794  0.816327  0.729761
4            joy   0.791956  0.852875  0.821287
5           love   0.527132  0.615385  0.567850
6       optimism   0.670166  0.707948  0.688539
7      pessimism   0.114667  0.682540  0.196347
8        sadness   0.509375  0.813644  0.626521
9       surprise   0.070588  0.705882  0.128342
10         trust   0.000000  0.000000  0.000000
11         micro   0.757088  0.604016  0.671945
12         macro   0.475168  0.642701  0.505298

         Emotion  Precision    Recall   F-Score
0          anger   0.826521  0.740439  0.781116
1   anticipation   0.072941  0.407895  0.123752
2        disgust   0.777980  0.699101  0.736434
3           fear   0.653608  0.836412  0.733796
4            joy   0.784327  0.872012  0.825849
5           love   0.368217  0.725191  0.488432
6       optimism   0.643920  0.725123  0.682113
7      pessimism   0.162667  0.512605  0.246964
8        sadness   0.620833  0.718072  0.665922
9       surprise   0.111765  0.463415  0.180095
10         trust   0.045752  0.318182  0.080000
11         micro   0.747420  0.616724  0.675811
12         macro   0.484663  0.636264  0.518357

         Emotion  Precision    Recall   F-Score
0          anger   0.785649  0.759438  0.772321
1   anticipation   0.122353  0.448276  0.192237
2        disgust   0.738854  0.724353  0.731532
3           fear   0.622680  0.834254  0.713105
4            joy   0.770458  0.875493  0.819624
5           love   0.422481  0.698718  0.526570
6       optimism   0.634296  0.735294  0.681071
7      pessimism   0.162667  0.544643  0.250513
8        sadness   0.581250  0.751009  0.655314
9       surprise   0.047059  0.727273  0.088398
10         trust   0.039216  0.428571  0.071856
11         micro   0.762813  0.599568  0.671410
12         macro   0.474148  0.677241  0.514496


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.771844  0.768698  0.769264
1   anticipation   0.083294  0.426101  0.138319
2        disgust   0.728116  0.728869  0.727346
3           fear   0.663093  0.808962  0.727946
4            joy   0.783495  0.863908  0.821242
5           love   0.439535  0.693058  0.531200
6       optimism   0.633421  0.730717  0.678106
7      pessimism   0.147200  0.567813  0.230117
8        sadness   0.542083  0.781881  0.633642
9       surprise   0.078824  0.611214  0.136602
10         trust   0.031373  0.308561  0.056429
11         micro   0.763432  0.594917  0.668434
12         macro   0.472142  0.657058  0.509887
