Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.735695  0.786408  0.760206
1   anticipation   0.051765  0.440000  0.092632
2        disgust   0.717925  0.734637  0.726185
3           fear   0.661856  0.827320  0.735395
4            joy   0.778779  0.873250  0.823314
5           love   0.447674  0.712963  0.550000
6       optimism   0.652668  0.715931  0.682838
7      pessimism   0.178667  0.553719  0.270161
8        sadness   0.539583  0.801858  0.645081
9       surprise   0.070588  0.631579  0.126984
10         trust   0.026144  0.571429  0.050000
11         micro   0.775514  0.590037  0.670179
12         macro   0.469738  0.686594  0.511081

         Emotion  Precision    Recall   F-Score
0          anger   0.808356  0.738589  0.771899
1   anticipation   0.016471  0.636364  0.032110
2        disgust   0.761601  0.712340  0.736148
3           fear   0.608247  0.877976  0.718636
4            joy   0.779473  0.871994  0.823142
5           love   0.463178  0.678977  0.550691
6       optimism   0.625547  0.724417  0.671362
7      pessimism   0.114667  0.704918  0.197248
8        sadness   0.570833  0.781740  0.659843
9       surprise   0.052941  0.692308  0.098361
10         trust   0.058824  0.391304  0.102273
11         micro   0.766455  0.599314  0.672657
12         macro   0.468883  0.700854  0.502864

         Emotion  Precision    Recall   F-Score
0          anger   0.723887  0.795409  0.757965
1   anticipation   0.049412  0.420000  0.088421
2        disgust   0.692448  0.748279  0.719282
3           fear   0.643299  0.847826  0.731536
4            joy   0.807212  0.851500  0.828765
5           love   0.459302  0.709581  0.557647
6       optimism   0.620297  0.730175  0.670766
7      pessimism   0.141333  0.576087  0.226981
8        sadness   0.581250  0.763338  0.659965
9       surprise   0.052941  0.600000  0.097297
10         trust   0.026144  0.666667  0.050314
11         micro   0.776919  0.587749  0.669223
12         macro   0.464537  0.691384  0.504847

         Emotion  Precision    Recall   F-Score
0          anger   0.831063  0.729665  0.777070
1   anticipation   0.025882  0.478261  0.049107
2        disgust   0.773430  0.717905  0.744634
3           fear   0.630928  0.845304  0.722550
4            joy   0.735090  0.898305  0.808543
5           love   0.327519  0.812500  0.466851
6       optimism   0.602800  0.744060  0.666022
7      pessimism   0.093333  0.729167  0.165485
8        sadness   0.488542  0.842011  0.618326
9       surprise   0.052941  0.642857  0.097826
10         trust   0.065359  0.384615  0.111732
11         micro   0.782255  0.574787  0.662662
12         macro   0.450762  0.699953  0.490901

         Emotion  Precision    Recall   F-Score
0          anger   0.800182  0.729909  0.763432
1   anticipation   0.011765  0.454545  0.022936
2        disgust   0.787989  0.695024  0.738593
3           fear   0.649485  0.828947  0.728324
4            joy   0.754508  0.885993  0.814981
5           love   0.381783  0.746212  0.505128
6       optimism   0.567804  0.752028  0.647059
7      pessimism   0.149333  0.583333  0.237792
8        sadness   0.510417  0.827703  0.631443
9       surprise   0.058824  0.625000  0.107527
10         trust   0.000000  0.000000  0.000000
11         micro   0.771980  0.579108  0.661778
12         macro   0.453672  0.642317  0.488249


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.779837  0.755996  0.766114
1   anticipation   0.031059  0.485834  0.057041
2        disgust   0.746679  0.721637  0.732968
3           fear   0.638763  0.845475  0.727288
4            joy   0.771012  0.876208  0.819749
5           love   0.415891  0.732047  0.526063
6       optimism   0.613823  0.733322  0.667609
7      pessimism   0.135467  0.629445  0.219533
8        sadness   0.538125  0.803330  0.642932
9       surprise   0.057647  0.638349  0.105599
10         trust   0.035294  0.402803  0.062864
11         micro   0.774625  0.586199  0.667300
12         macro   0.461518  0.684220  0.499588
