Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.774750  0.775455  0.775102
1   anticipation   0.068235  0.432836  0.117886
2        disgust   0.745223  0.741848  0.743532
3           fear   0.651546  0.816537  0.724771
4            joy   0.771151  0.881141  0.822485
5           love   0.414729  0.699346  0.520681
6       optimism   0.626422  0.765775  0.689124
7      pessimism   0.112000  0.494118  0.182609
8        sadness   0.587500  0.744063  0.656577
9       surprise   0.052941  0.500000  0.095745
10         trust   0.013072  0.250000  0.024845
11         micro   0.775456  0.594231  0.672854
12         macro   0.466085  0.641279  0.502184

         Emotion  Precision    Recall   F-Score
0          anger   0.722071  0.814549  0.765527
1   anticipation   0.025882  0.478261  0.049107
2        disgust   0.722475  0.724453  0.723462
3           fear   0.571134  0.871069  0.689913
4            joy   0.827323  0.828472  0.827897
5           love   0.414729  0.690323  0.518160
6       optimism   0.692913  0.725275  0.708725
7      pessimism   0.101333  0.558824  0.171558
8        sadness   0.557292  0.786765  0.652439
9       surprise   0.047059  0.571429  0.086957
10         trust   0.019608  0.500000  0.037736
11         micro   0.773701  0.592197  0.670890
12         macro   0.456293  0.678468  0.491864

         Emotion  Precision    Recall   F-Score
0          anger   0.782016  0.767380  0.774629
1   anticipation   0.035294  0.428571  0.065217
2        disgust   0.708826  0.752657  0.730084
3           fear   0.653608  0.800505  0.719637
4            joy   0.781553  0.875680  0.825944
5           love   0.401163  0.716263  0.514286
6       optimism   0.606299  0.760703  0.674781
7      pessimism   0.096000  0.545455  0.163265
8        sadness   0.522917  0.786834  0.628285
9       surprise   0.058824  0.555556  0.106383
10         trust   0.013072  0.333333  0.025157
11         micro   0.783905  0.578091  0.665448
12         macro   0.453623  0.658419  0.491093

         Emotion  Precision    Recall   F-Score
0          anger   0.729337  0.810293  0.767686
1   anticipation   0.058824  0.373134  0.101626
2        disgust   0.686078  0.741396  0.712665
3           fear   0.649485  0.809769  0.720824
4            joy   0.819695  0.819127  0.819411
5           love   0.383721  0.678082  0.490099
6       optimism   0.738408  0.690106  0.713440
7      pessimism   0.125333  0.470000  0.197895
8        sadness   0.555208  0.769120  0.644888
9       surprise   0.064706  0.578947  0.116402
10         trust   0.084967  0.393939  0.139785
11         micro   0.753949  0.600457  0.668506
12         macro   0.470809  0.644531  0.507769

         Emotion  Precision    Recall   F-Score
0          anger   0.739328  0.789525  0.763602
1   anticipation   0.037647  0.400000  0.068817
2        disgust   0.727934  0.727934  0.727934
3           fear   0.653608  0.804569  0.721274
4            joy   0.799584  0.845308  0.821810
5           love   0.434109  0.687117  0.532067
6       optimism   0.621172  0.752916  0.680729
7      pessimism   0.154667  0.439394  0.228797
8        sadness   0.593750  0.735484  0.657061
9       surprise   0.058824  0.588235  0.106952
10         trust   0.013072  0.500000  0.025478
11         micro   0.763102  0.593976  0.668001
12         macro   0.466400  0.655371  0.500210


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.749500  0.791440  0.769309
1   anticipation   0.045176  0.422560  0.080531
2        disgust   0.718107  0.737658  0.727536
3           fear   0.635876  0.820490  0.715284
4            joy   0.799861  0.849946  0.823509
5           love   0.409690  0.694226  0.515058
6       optimism   0.657043  0.738955  0.693360
7      pessimism   0.117867  0.501558  0.188825
8        sadness   0.563333  0.764453  0.647850
9       surprise   0.056471  0.558833  0.102488
10         trust   0.028758  0.395455  0.050600
11         micro   0.770023  0.591791  0.669140
12         macro   0.462642  0.655614  0.498624
