Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.772025  0.763702  0.767841
1   anticipation   0.051765  0.500000  0.093817
2        disgust   0.736124  0.724910  0.730474
3           fear   0.569072  0.838906  0.678133
4            joy   0.762136  0.874304  0.814376
5           love   0.391473  0.694158  0.500620
6       optimism   0.718285  0.688758  0.703212
7      pessimism   0.141333  0.500000  0.220374
8        sadness   0.548958  0.765988  0.639563
9       surprise   0.035294  0.400000  0.064865
10         trust   0.032680  0.333333  0.059524
11         micro   0.757379  0.593468  0.665479
12         macro   0.459710  0.639794  0.494856

         Emotion  Precision    Recall   F-Score
0          anger   0.750227  0.772685  0.761290
1   anticipation   0.042353  0.439024  0.077253
2        disgust   0.736124  0.721677  0.728829
3           fear   0.653608  0.784653  0.713161
4            joy   0.730929  0.879800  0.798485
5           love   0.426357  0.676923  0.523187
6       optimism   0.631671  0.727823  0.676347
7      pessimism   0.157333  0.457364  0.234127
8        sadness   0.623958  0.693287  0.656798
9       surprise   0.047059  0.571429  0.086957
10         trust   0.026144  0.400000  0.049080
11         micro   0.751743  0.589147  0.660587
12         macro   0.464792  0.642818  0.497175

         Emotion  Precision    Recall   F-Score
0          anger   0.638510  0.836905  0.724369
1   anticipation   0.061176  0.456140  0.107884
2        disgust   0.666060  0.766492  0.712756
3           fear   0.583505  0.810888  0.678657
4            joy   0.809986  0.830725  0.820225
5           love   0.472868  0.670330  0.554545
6       optimism   0.705162  0.700261  0.702703
7      pessimism   0.181333  0.444444  0.257576
8        sadness   0.581250  0.728460  0.646582
9       surprise   0.047059  0.533333  0.086486
10         trust   0.039216  0.300000  0.069364
11         micro   0.757406  0.584827  0.660022
12         macro   0.461961  0.638567  0.501764

         Emotion  Precision    Recall   F-Score
0          anger   0.801090  0.738693  0.768627
1   anticipation   0.058824  0.416667  0.103093
2        disgust   0.745223  0.731903  0.738503
3           fear   0.628866  0.800525  0.704388
4            joy   0.764910  0.874703  0.816130
5           love   0.476744  0.672131  0.557823
6       optimism   0.660542  0.713611  0.686052
7      pessimism   0.128000  0.480000  0.202105
8        sadness   0.577083  0.743624  0.649853
9       surprise   0.047059  0.533333  0.086486
10         trust   0.065359  0.263158  0.104712
11         micro   0.750355  0.604270  0.669435
12         macro   0.475338  0.631052  0.507267

         Emotion  Precision    Recall   F-Score
0          anger   0.786558  0.750433  0.768071
1   anticipation   0.077647  0.417722  0.130952
2        disgust   0.722475  0.725777  0.724122
3           fear   0.600000  0.822034  0.693683
4            joy   0.769071  0.865055  0.814244
5           love   0.562016  0.622318  0.590631
6       optimism   0.622047  0.745283  0.678112
7      pessimism   0.168000  0.459854  0.246094
8        sadness   0.585417  0.720513  0.645977
9       surprise   0.058824  0.500000  0.105263
10         trust   0.084967  0.406250  0.140541
11         micro   0.746537  0.602618  0.666901
12         macro   0.481963  0.636488  0.517049


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.749682  0.772484  0.758040
1   anticipation   0.058353  0.445911  0.102600
2        disgust   0.721201  0.734152  0.726937
3           fear   0.607010  0.811401  0.693604
4            joy   0.767406  0.864917  0.812692
5           love   0.465891  0.667172  0.545361
6       optimism   0.667542  0.715147  0.689285
7      pessimism   0.155200  0.468333  0.232055
8        sadness   0.583333  0.730374  0.647755
9       surprise   0.047059  0.507619  0.086012
10         trust   0.049673  0.340548  0.084644
11         micro   0.752684  0.594866  0.664485
12         macro   0.468753  0.637744  0.503622
