Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.741144  0.800785  0.769811
1   anticipation   0.141176  0.355030  0.202020
2        disgust   0.703367  0.753411  0.727529
3           fear   0.645361  0.855191  0.735605
4            joy   0.821082  0.843305  0.832045
5           love   0.546512  0.643836  0.591195
6       optimism   0.648294  0.727898  0.685794
7      pessimism   0.074667  0.608696  0.133017
8        sadness   0.573958  0.790531  0.665057
9       surprise   0.117647  0.625000  0.198020
10         trust   0.084967  0.448276  0.142857
11         micro   0.765695  0.607574  0.677531
12         macro   0.488656  0.671628  0.530040

         Emotion  Precision    Recall   F-Score
0          anger   0.752044  0.797688  0.774194
1   anticipation   0.084706  0.404494  0.140078
2        disgust   0.732484  0.728507  0.730490
3           fear   0.727835  0.765727  0.746300
4            joy   0.783634  0.859316  0.819732
5           love   0.610465  0.615234  0.612840
6       optimism   0.588801  0.756180  0.662076
7      pessimism   0.141333  0.546392  0.224576
8        sadness   0.579167  0.777622  0.663881
9       surprise   0.129412  0.578947  0.211538
10         trust   0.026144  0.666667  0.050314
11         micro   0.762049  0.606812  0.675628
12         macro   0.493173  0.675299  0.525971

         Emotion  Precision    Recall   F-Score
0          anger   0.784741  0.771429  0.778028
1   anticipation   0.096471  0.372727  0.153271
2        disgust   0.711556  0.746183  0.728458
3           fear   0.668041  0.828645  0.739726
4            joy   0.827323  0.839550  0.833392
5           love   0.439922  0.700617  0.540476
6       optimism   0.763780  0.678849  0.718814
7      pessimism   0.077333  0.707317  0.139423
8        sadness   0.464583  0.856046  0.602296
9       surprise   0.082353  0.608696  0.145078
10         trust   0.032680  0.454545  0.060976
11         micro   0.762071  0.609734  0.677444
12         macro   0.475905  0.681195  0.509782

         Emotion  Precision    Recall   F-Score
0          anger   0.822888  0.733010  0.775353
1   anticipation   0.044706  0.487179  0.081897
2        disgust   0.776160  0.702058  0.737252
3           fear   0.694845  0.812048  0.748889
4            joy   0.814840  0.846542  0.830389
5           love   0.604651  0.620278  0.612365
6       optimism   0.713911  0.712042  0.712975
7      pessimism   0.170667  0.488550  0.252964
8        sadness   0.591667  0.736706  0.656268
9       surprise   0.058824  0.666667  0.108108
10         trust   0.058824  0.473684  0.104651
11         micro   0.736987  0.644173  0.687462
12         macro   0.507414  0.660245  0.525714

         Emotion  Precision    Recall   F-Score
0          anger   0.788374  0.745704  0.766446
1   anticipation   0.084706  0.395604  0.139535
2        disgust   0.780710  0.688604  0.731770
3           fear   0.651546  0.838196  0.733179
4            joy   0.773232  0.867704  0.817748
5           love   0.529070  0.643868  0.580851
6       optimism   0.624672  0.736842  0.676136
7      pessimism   0.178667  0.503759  0.263780
8        sadness   0.551042  0.800303  0.652684
9       surprise   0.105882  0.620690  0.180905
10         trust   0.071895  0.333333  0.118280
11         micro   0.749376  0.610624  0.672922
12         macro   0.490764  0.648769  0.527853


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.777838  0.769723  0.772766
1   anticipation   0.090353  0.403007  0.143360
2        disgust   0.740855  0.723752  0.731100
3           fear   0.677526  0.819961  0.740740
4            joy   0.804022  0.851283  0.826661
5           love   0.546124  0.644767  0.587546
6       optimism   0.667892  0.722362  0.691159
7      pessimism   0.128533  0.570943  0.202752
8        sadness   0.552083  0.792241  0.648037
9       surprise   0.098824  0.620000  0.168730
10         trust   0.054902  0.475301  0.095416
11         micro   0.755236  0.615783  0.678198
12         macro   0.491182  0.667427  0.523872
