Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.784741  0.737831  0.760563
1   anticipation   0.032941  0.437500  0.061269
2        disgust   0.759782  0.701681  0.729576
3           fear   0.550515  0.839623  0.665006
4            joy   0.785714  0.847420  0.815401
5           love   0.496124  0.646465  0.561404
6       optimism   0.659668  0.732039  0.693971
7      pessimism   0.077333  0.537037  0.135198
8        sadness   0.539583  0.751814  0.628260
9       surprise   0.064706  0.611111  0.117021
10         trust   0.052288  0.500000  0.094675
11         micro   0.750120  0.595883  0.664164
12         macro   0.462793  0.661534  0.493876

         Emotion  Precision    Recall   F-Score
0          anger   0.792916  0.720892  0.755190
1   anticipation   0.023529  0.370370  0.044248
2        disgust   0.752502  0.705631  0.728314
3           fear   0.622680  0.778351  0.691867
4            joy   0.752427  0.859746  0.802515
5           love   0.503876  0.650000  0.567686
6       optimism   0.600175  0.757174  0.669595
7      pessimism   0.120000  0.535714  0.196078
8        sadness   0.477083  0.795139  0.596354
9       surprise   0.041176  0.583333  0.076923
10         trust   0.019608  0.300000  0.036810
11         micro   0.753307  0.578981  0.654739
12         macro   0.454940  0.636278  0.485027

         Emotion  Precision    Recall   F-Score
0          anger   0.780200  0.745013  0.762201
1   anticipation   0.075294  0.444444  0.128773
2        disgust   0.785259  0.690953  0.735094
3           fear   0.653608  0.742389  0.695175
4            joy   0.681692  0.911874  0.780159
5           love   0.306202  0.766990  0.437673
6       optimism   0.544182  0.773632  0.638932
7      pessimism   0.125333  0.552941  0.204348
8        sadness   0.445833  0.824663  0.578769
9       surprise   0.070588  0.600000  0.126316
10         trust   0.026144  0.266667  0.047619
11         micro   0.768479  0.549625  0.640883
12         macro   0.438568  0.655766  0.481328

         Emotion  Precision    Recall   F-Score
0          anger   0.738420  0.787791  0.762307
1   anticipation   0.032941  0.500000  0.061810
2        disgust   0.716106  0.733458  0.724678
3           fear   0.567010  0.835866  0.675676
4            joy   0.757975  0.859277  0.805453
5           love   0.474806  0.669399  0.555556
6       optimism   0.679790  0.708942  0.694060
7      pessimism   0.154667  0.517857  0.238193
8        sadness   0.612500  0.706731  0.656250
9       surprise   0.058824  0.625000  0.107527
10         trust   0.039216  0.400000  0.071429
11         micro   0.756117  0.592960  0.664672
12         macro   0.465698  0.661440  0.501467

         Emotion  Precision    Recall   F-Score
0          anger   0.744777  0.771402  0.757856
1   anticipation   0.037647  0.615385  0.070953
2        disgust   0.717925  0.741541  0.729542
3           fear   0.571134  0.819527  0.673147
4            joy   0.771151  0.865370  0.815548
5           love   0.405039  0.703704  0.514145
6       optimism   0.629921  0.743034  0.681818
7      pessimism   0.173333  0.524194  0.260521
8        sadness   0.540625  0.744620  0.626433
9       surprise   0.052941  0.600000  0.097297
10         trust   0.013072  0.250000  0.024845
11         micro   0.770982  0.576693  0.659833
12         macro   0.452379  0.662956  0.492662


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.768211  0.752586  0.759623
1   anticipation   0.040471  0.473540  0.073411
2        disgust   0.746315  0.714653  0.729441
3           fear   0.592990  0.803151  0.680174
4            joy   0.749792  0.868737  0.803815
5           love   0.437209  0.687312  0.527293
6       optimism   0.622747  0.742964  0.675675
7      pessimism   0.130133  0.533549  0.206868
8        sadness   0.523125  0.764593  0.617213
9       surprise   0.057647  0.603889  0.105017
10         trust   0.030065  0.343333  0.055075
11         micro   0.759801  0.578828  0.656858
12         macro   0.454876  0.655595  0.490872
