Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.755677  0.771084  0.763303
1   anticipation   0.028235  0.461538  0.053215
2        disgust   0.732484  0.695164  0.713336
3           fear   0.665979  0.823980  0.736602
4            joy   0.798197  0.829251  0.813428
5           love   0.486434  0.645244  0.554696
6       optimism   0.622922  0.733265  0.673605
7      pessimism   0.152000  0.459677  0.228457
8        sadness   0.562500  0.748960  0.642475
9       surprise   0.052941  0.600000  0.097297
10         trust   0.000000  0.000000  0.000000
11         micro   0.749162  0.596264  0.664025
12         macro   0.467211  0.613702  0.495037

         Emotion  Precision    Recall   F-Score
0          anger   0.724796  0.792453  0.757116
1   anticipation   0.023529  0.344828  0.044053
2        disgust   0.686988  0.734436  0.709920
3           fear   0.680412  0.814815  0.741573
4            joy   0.763523  0.871734  0.814048
5           love   0.426357  0.674847  0.522565
6       optimism   0.636045  0.727000  0.678488
7      pessimism   0.080000  0.697674  0.143541
8        sadness   0.496875  0.803030  0.613900
9       surprise   0.058824  0.666667  0.108108
10         trust   0.013072  0.400000  0.025316
11         micro   0.780402  0.566781  0.656655
12         macro   0.447569  0.674522  0.484607

         Emotion  Precision    Recall   F-Score
0          anger   0.733878  0.776177  0.754435
1   anticipation   0.080000  0.472222  0.136821
2        disgust   0.698817  0.737044  0.717422
3           fear   0.694845  0.783721  0.736612
4            joy   0.759362  0.869738  0.810811
5           love   0.447674  0.710769  0.549346
6       optimism   0.622922  0.737824  0.675522
7      pessimism   0.133333  0.549451  0.214592
8        sadness   0.561458  0.763456  0.647059
9       surprise   0.064706  0.687500  0.118280
10         trust   0.006536  0.500000  0.012903
11         micro   0.770886  0.582793  0.663772
12         macro   0.464535  0.680891  0.503131

         Emotion  Precision    Recall   F-Score
0          anger   0.786558  0.740804  0.762996
1   anticipation   0.018824  0.421053  0.036036
2        disgust   0.767971  0.687857  0.725709
3           fear   0.694845  0.783721  0.736612
4            joy   0.757282  0.863924  0.807095
5           love   0.455426  0.679191  0.545244
6       optimism   0.634296  0.733806  0.680432
7      pessimism   0.181333  0.496350  0.265625
8        sadness   0.612500  0.725926  0.664407
9       surprise   0.047059  0.571429  0.086957
10         trust   0.000000  0.000000  0.000000
11         micro   0.744771  0.606303  0.668441
12         macro   0.475072  0.609197  0.498296

         Emotion  Precision    Recall   F-Score
0          anger   0.735695  0.785645  0.759850
1   anticipation   0.049412  0.512195  0.090129
2        disgust   0.731574  0.715302  0.723347
3           fear   0.696907  0.789720  0.740416
4            joy   0.714286  0.895652  0.794753
5           love   0.341085  0.752137  0.469333
6       optimism   0.622047  0.724033  0.669176
7      pessimism   0.122667  0.582278  0.202643
8        sadness   0.572917  0.759669  0.653207
9       surprise   0.076471  0.590909  0.135417
10         trust   0.019608  0.428571  0.037500
11         micro   0.773274  0.572118  0.657658
12         macro   0.454662  0.675686  0.494452


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.747321  0.773233  0.759540
1   anticipation   0.040000  0.442367  0.072051
2        disgust   0.723567  0.713961  0.717947
3           fear   0.686598  0.799191  0.738363
4            joy   0.758530  0.866060  0.808027
5           love   0.431395  0.692438  0.528237
6       optimism   0.627647  0.731185  0.675445
7      pessimism   0.133867  0.557086  0.210972
8        sadness   0.561250  0.760208  0.644209
9       surprise   0.060000  0.623301  0.109212
10         trust   0.007843  0.265714  0.015144
11         micro   0.763699  0.584852  0.662110
12         macro   0.461810  0.650800  0.495105
