Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.683015  0.812095  0.741983
1   anticipation   0.075294  0.415584  0.127490
2        disgust   0.581438  0.801757  0.674051
3           fear   0.577320  0.845921  0.686275
4            joy   0.797503  0.844967  0.820549
5           love   0.591085  0.601578  0.596285
6       optimism   0.664917  0.717658  0.690282
7      pessimism   0.082667  0.659574  0.146919
8        sadness   0.533333  0.763040  0.627836
9       surprise   0.047059  0.615385  0.087432
10         trust   0.006536  0.250000  0.012739
11         micro   0.771621  0.568052  0.654370
12         macro   0.450982  0.657968  0.488851

         Emotion  Precision    Recall   F-Score
0          anger   0.740236  0.780651  0.759907
1   anticipation   0.030588  0.541667  0.057906
2        disgust   0.690628  0.746313  0.717391
3           fear   0.595876  0.847507  0.699758
4            joy   0.766990  0.872240  0.816236
5           love   0.470930  0.690341  0.559908
6       optimism   0.601925  0.738197  0.663133
7      pessimism   0.122667  0.554217  0.200873
8        sadness   0.610417  0.729763  0.664776
9       surprise   0.070588  0.705882  0.128342
10         trust   0.006536  0.500000  0.012903
11         micro   0.774775  0.579235  0.662885
12         macro   0.456846  0.690501  0.495335

         Emotion  Precision    Recall   F-Score
0          anger   0.686649  0.806830  0.741904
1   anticipation   0.030588  0.406250  0.056893
2        disgust   0.645132  0.766486  0.700593
3           fear   0.620619  0.820163  0.706573
4            joy   0.824549  0.822837  0.823692
5           love   0.430233  0.691589  0.530466
6       optimism   0.712161  0.689831  0.700818
7      pessimism   0.125333  0.587500  0.206593
8        sadness   0.573958  0.741588  0.647093
9       surprise   0.047059  0.666667  0.087912
10         trust   0.026144  0.571429  0.050000
11         micro   0.762771  0.586352  0.663026
12         macro   0.457100  0.679793  0.492964

         Emotion  Precision    Recall   F-Score
0          anger   0.722071  0.779412  0.749646
1   anticipation   0.040000  0.459459  0.073593
2        disgust   0.726115  0.711864  0.718919
3           fear   0.641237  0.807792  0.714943
4            joy   0.787795  0.857358  0.821106
5           love   0.569767  0.628205  0.597561
6       optimism   0.597550  0.744820  0.663107
7      pessimism   0.090667  0.596491  0.157407
8        sadness   0.482292  0.812281  0.605229
9       surprise   0.076471  0.722222  0.138298
10         trust   0.052288  0.363636  0.091429
11         micro   0.766330  0.578472  0.659280
12         macro   0.462715  0.671835  0.499210

         Emotion  Precision    Recall   F-Score
0          anger   0.796549  0.728405  0.760954
1   anticipation   0.049412  0.411765  0.088235
2        disgust   0.771611  0.680578  0.723241
3           fear   0.632990  0.829730  0.718129
4            joy   0.695562  0.918498  0.791634
5           love   0.253876  0.834395  0.389302
6       optimism   0.618548  0.730372  0.669825
7      pessimism   0.106667  0.634921  0.182648
8        sadness   0.488542  0.807229  0.608696
9       surprise   0.076471  0.541667  0.134021
10         trust   0.000000  0.000000  0.000000
11         micro   0.767199  0.561189  0.648220
12         macro   0.438119  0.639896  0.476242


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.725704  0.781479  0.750879
1   anticipation   0.045176  0.446945  0.080824
2        disgust   0.682985  0.741400  0.706839
3           fear   0.613608  0.830223  0.705135
4            joy   0.774480  0.863180  0.814644
5           love   0.463178  0.689222  0.534704
6       optimism   0.639020  0.724176  0.677433
7      pessimism   0.105600  0.606541  0.178888
8        sadness   0.537708  0.770780  0.630726
9       surprise   0.063529  0.650365  0.115201
10         trust   0.018301  0.337013  0.033414
11         micro   0.768539  0.574660  0.657556
12         macro   0.453152  0.667998  0.490520
