Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.755677  0.768946  0.762254
1   anticipation   0.091765  0.382353  0.148008
2        disgust   0.754322  0.688538  0.719931
3           fear   0.715464  0.790433  0.751082
4            joy   0.717060  0.903057  0.799382
5           love   0.412791  0.744755  0.531172
6       optimism   0.558180  0.747073  0.638958
7      pessimism   0.237333  0.415888  0.302207
8        sadness   0.606250  0.750968  0.670893
9       surprise   0.129412  0.709677  0.218905
10         trust   0.013072  0.333333  0.025157
11         micro   0.753829  0.588004  0.660670
12         macro   0.478763  0.651919  0.519052

         Emotion  Precision    Recall   F-Score
0          anger   0.716621  0.790581  0.751787
1   anticipation   0.058824  0.396825  0.102459
2        disgust   0.709736  0.732394  0.720887
3           fear   0.661856  0.833766  0.737931
4            joy   0.739945  0.901182  0.812643
5           love   0.426357  0.711974  0.533333
6       optimism   0.564304  0.766033  0.649874
7      pessimism   0.184000  0.518797  0.271654
8        sadness   0.631250  0.737226  0.680135
9       surprise   0.070588  0.631579  0.126984
10         trust   0.019608  0.428571  0.037500
11         micro   0.778617  0.576566  0.662529
12         macro   0.463475  0.668791  0.507310

         Emotion  Precision    Recall   F-Score
0          anger   0.723887  0.786772  0.754021
1   anticipation   0.063529  0.457627  0.111570
2        disgust   0.765241  0.697925  0.730035
3           fear   0.752577  0.722772  0.737374
4            joy   0.710818  0.905477  0.796426
5           love   0.552326  0.643341  0.594369
6       optimism   0.632546  0.733266  0.679192
7      pessimism   0.197333  0.459627  0.276119
8        sadness   0.580208  0.747651  0.653372
9       surprise   0.135294  0.657143  0.224390
10         trust   0.052288  0.266667  0.087432
11         micro   0.748337  0.600457  0.666291
12         macro   0.492865  0.639894  0.525883

         Emotion  Precision    Recall   F-Score
0          anger   0.805631  0.738551  0.770634
1   anticipation   0.028235  0.666667  0.054176
2        disgust   0.787079  0.681102  0.730266
3           fear   0.696907  0.780600  0.736383
4            joy   0.776699  0.873635  0.822320
5           love   0.575581  0.627907  0.600607
6       optimism   0.636045  0.730653  0.680075
7      pessimism   0.194667  0.483444  0.277567
8        sadness   0.520833  0.821018  0.637349
9       surprise   0.105882  0.720000  0.184615
10         trust   0.000000  0.000000  0.000000
11         micro   0.748762  0.614691  0.675134
12         macro   0.489694  0.644856  0.514094

         Emotion  Precision    Recall   F-Score
0          anger   0.746594  0.787356  0.766434
1   anticipation   0.084706  0.409091  0.140351
2        disgust   0.749773  0.706690  0.727594
3           fear   0.711340  0.764967  0.737179
4            joy   0.785714  0.865546  0.823700
5           love   0.403101  0.712329  0.514851
6       optimism   0.643045  0.728444  0.683086
7      pessimism   0.130667  0.604938  0.214912
8        sadness   0.506250  0.833619  0.629942
9       surprise   0.088235  0.714286  0.157068
10         trust   0.000000  0.000000  0.000000
11         micro   0.769727  0.591308  0.668823
12         macro   0.468263  0.643214  0.505328


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.749682  0.774441  0.761026
1   anticipation   0.065412  0.462513  0.111313
2        disgust   0.753230  0.701330  0.725742
3           fear   0.707629  0.778508  0.739990
4            joy   0.746047  0.889779  0.810894
5           love   0.474031  0.688061  0.554867
6       optimism   0.606824  0.741094  0.666237
7      pessimism   0.188800  0.496539  0.268492
8        sadness   0.568958  0.778096  0.654338
9       surprise   0.105882  0.686537  0.182393
10         trust   0.016993  0.205714  0.030018
11         micro   0.759854  0.594205  0.666689
12         macro   0.478612  0.649735  0.514333
