Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.807448  0.739601  0.772036
1   anticipation   0.040000  0.531250  0.074398
2        disgust   0.755232  0.713672  0.733864
3           fear   0.670103  0.798526  0.728700
4            joy   0.781553  0.875000  0.825641
5           love   0.441860  0.676558  0.534584
6       optimism   0.593176  0.761798  0.666995
7      pessimism   0.117333  0.550000  0.193407
8        sadness   0.560417  0.783115  0.653309
9       surprise   0.105882  0.642857  0.181818
10         trust   0.045752  0.437500  0.082840
11         micro   0.766884  0.597408  0.671619
12         macro   0.473803  0.675607  0.509934

         Emotion  Precision    Recall   F-Score
0          anger   0.716621  0.793763  0.753222
1   anticipation   0.065882  0.444444  0.114754
2        disgust   0.693358  0.741967  0.716839
3           fear   0.587629  0.879630  0.704574
4            joy   0.811373  0.833927  0.822496
5           love   0.397287  0.719298  0.511860
6       optimism   0.685914  0.714676  0.700000
7      pessimism   0.112000  0.636364  0.190476
8        sadness   0.603125  0.721046  0.656835
9       surprise   0.105882  0.562500  0.178218
10         trust   0.084967  0.361111  0.137566
11         micro   0.762643  0.594103  0.667905
12         macro   0.468890  0.666902  0.512895

         Emotion  Precision    Recall   F-Score
0          anger   0.692098  0.803797  0.743777
1   anticipation   0.103529  0.435644  0.167300
2        disgust   0.650591  0.759023  0.700637
3           fear   0.713402  0.755459  0.733828
4            joy   0.772538  0.882027  0.823660
5           love   0.618217  0.620623  0.619417
6       optimism   0.614173  0.751606  0.675975
7      pessimism   0.181333  0.478873  0.263056
8        sadness   0.606250  0.739517  0.666285
9       surprise   0.094118  0.640000  0.164103
10         trust   0.006536  0.111111  0.012346
11         micro   0.762535  0.593341  0.667381
12         macro   0.484610  0.630918  0.519814

         Emotion  Precision    Recall   F-Score
0          anger   0.712080  0.809082  0.757488
1   anticipation   0.094118  0.421053  0.153846
2        disgust   0.691538  0.751731  0.720379
3           fear   0.709278  0.747826  0.728042
4            joy   0.777393  0.869666  0.820945
5           love   0.480620  0.686981  0.565564
6       optimism   0.706037  0.700521  0.703268
7      pessimism   0.141333  0.524752  0.222689
8        sadness   0.544792  0.788839  0.644486
9       surprise   0.105882  0.666667  0.182741
10         trust   0.006536  0.333333  0.012821
11         micro   0.766433  0.597153  0.671286
12         macro   0.478003  0.658134  0.515296

         Emotion  Precision    Recall   F-Score
0          anger   0.769301  0.760323  0.764786
1   anticipation   0.009412  0.307692  0.018265
2        disgust   0.686078  0.749503  0.716390
3           fear   0.688660  0.789598  0.735683
4            joy   0.744799  0.904040  0.816730
5           love   0.542636  0.657277  0.594480
6       optimism   0.616798  0.746032  0.675287
7      pessimism   0.128000  0.640000  0.213333
8        sadness   0.581250  0.761255  0.659185
9       surprise   0.076471  0.722222  0.138298
10         trust   0.045752  0.466667  0.083333
11         micro   0.776360  0.587622  0.668933
12         macro   0.472126  0.674353  0.507059


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.739510  0.781313  0.758262
1   anticipation   0.062588  0.428017  0.105713
2        disgust   0.695359  0.743179  0.717622
3           fear   0.673814  0.794208  0.726165
4            joy   0.777531  0.872932  0.821894
5           love   0.496124  0.672147  0.565181
6       optimism   0.643220  0.734927  0.684305
7      pessimism   0.136000  0.565998  0.216592
8        sadness   0.579167  0.758754  0.656020
9       surprise   0.097647  0.646849  0.169036
10         trust   0.037908  0.341944  0.065781
11         micro   0.766971  0.593926  0.669425
12         macro   0.475487  0.661183  0.513000
