Individual runs:
         Emotion  Precision    Recall   F-Score
0          anger   0.648501  0.813212  0.721577
1   anticipation   0.004706  0.666667  0.009346
2        disgust   0.618744  0.760626  0.682388
3           fear   0.614433  0.811989  0.699531
4            joy   0.737171  0.883624  0.803781
5           love   0.385659  0.718412  0.501892
6       optimism   0.577428  0.734149  0.646425
7      pessimism   0.125333  0.534091  0.203024
8        sadness   0.593750  0.725191  0.652921
9       surprise   0.041176  0.636364  0.077348
10         trust   0.006536  0.500000  0.012903
11         micro   0.784209  0.538950  0.638849
12         macro   0.428137  0.693606  0.470832

         Emotion  Precision    Recall   F-Score
0          anger   0.690282  0.790843  0.737148
1   anticipation   0.007059  0.250000  0.013730
2        disgust   0.686078  0.731329  0.707981
3           fear   0.591753  0.844118  0.695758
4            joy   0.782247  0.846847  0.813266
5           love   0.461240  0.680000  0.549654
6       optimism   0.655293  0.692877  0.673561
7      pessimism   0.101333  0.558824  0.171558
8        sadness   0.406250  0.864745  0.552799
9       surprise   0.035294  0.600000  0.066667
10         trust   0.013072  0.400000  0.025316
11         micro   0.772026  0.553438  0.644708
12         macro   0.433494  0.651085  0.471012

         Emotion  Precision    Recall   F-Score
0          anger   0.745686  0.753211  0.749429
1   anticipation   0.007059  0.300000  0.013793
2        disgust   0.734304  0.692704  0.712898
3           fear   0.600000  0.829060  0.696172
4            joy   0.730929  0.882008  0.799393
5           love   0.325581  0.796209  0.462173
6       optimism   0.588801  0.722879  0.648987
7      pessimism   0.072000  0.574468  0.127962
8        sadness   0.458333  0.817844  0.587450
9       surprise   0.052941  0.642857  0.097826
10         trust   0.006536  1.000000  0.012987
11         micro   0.773276  0.545686  0.639845
12         macro   0.424621  0.713077  0.462410

         Emotion  Precision    Recall   F-Score
0          anger   0.744777  0.762791  0.753676
1   anticipation   0.004706  0.400000  0.009302
2        disgust   0.711556  0.724745  0.718090
3           fear   0.618557  0.821918  0.705882
4            joy   0.749653  0.877435  0.808527
5           love   0.377907  0.714286  0.494297
6       optimism   0.601925  0.728814  0.659320
7      pessimism   0.077333  0.557692  0.135831
8        sadness   0.495833  0.797320  0.611432
9       surprise   0.047059  0.666667  0.087912
10         trust   0.039216  0.500000  0.072727
11         micro   0.777010  0.557504  0.649205
12         macro   0.437128  0.675764  0.475517

         Emotion  Precision    Recall   F-Score
0          anger   0.731153  0.770335  0.750233
1   anticipation   0.018824  0.444444  0.036117
2        disgust   0.711556  0.713504  0.712528
3           fear   0.684536  0.779343  0.728869
4            joy   0.737864  0.880066  0.802716
5           love   0.383721  0.699647  0.495620
6       optimism   0.498688  0.773406  0.606383
7      pessimism   0.037333  0.736842  0.071066
8        sadness   0.545833  0.763848  0.636695
9       surprise   0.058824  0.625000  0.107527
10         trust   0.019608  0.428571  0.037500
11         micro   0.777698  0.547719  0.642756
12         macro   0.433803  0.680227  0.469001


Average:
         Emotion  Precision    Recall   F-Score
0          anger   0.712080  0.778078  0.742413
1   anticipation   0.008471  0.412222  0.016458
2        disgust   0.692448  0.724582  0.706777
3           fear   0.621856  0.817285  0.705242
4            joy   0.747573  0.873996  0.805537
5           love   0.386822  0.721710  0.500727
6       optimism   0.584427  0.730425  0.646935
7      pessimism   0.082667  0.592383  0.141888
8        sadness   0.500000  0.793790  0.608260
9       surprise   0.047059  0.634177  0.087456
10         trust   0.016993  0.565714  0.032287
11         micro   0.776844  0.548659  0.643072
12         macro   0.431436  0.682752  0.469754
